profile,actor,DPS,increase,
2T,Iced_Phial_of_Corrupting_Rage_95_3,254400,4.70%,
2T,Iced_Phial_of_Corrupting_Rage_85_3,253156,4.18%,
2T,Phial_of_Static_Empowerment_3,252050,3.73%,
2T,Phial_of_Charged_Isolation_3,252012,3.71%,
2T,Iced_Phial_of_Corrupting_Rage_70_3,251383,3.45%,
2T,Phial_of_Tepid_Versatility_3,251344,3.44%,
2T,Phial_of_Elemental_Chaos_3,249737,2.78%,
2T,Iced_Phial_of_Corrupting_Rage_50_3,249007,2.48%,
2T,Iced_Phial_of_Corrupting_Rage_40_3,247520,1.86%,
2T,Elemental_Potion_of_Ultimate_Power_3,245440,1.01%,
2T,Elemental_Potion_of_Power_3,244904,0.79%,
2T,Phial_of_Glacial_Fury_3,244689,0.70%,
2T,Potion_of_Shocking_Disclosure_3,243932,0.39%,
2T,Bottled_Putrescence_3,243925,0.39%,
2T,Base,242989,0.00%,
