profile,actor,DPS,increase,
2T,Iced_Phial_of_Corrupting_Rage_95_3,268782,4.93%,
2T,Iced_Phial_of_Corrupting_Rage_85_3,267319,4.36%,
2T,Phial_of_Static_Empowerment_3,265682,3.72%,
2T,Phial_of_Charged_Isolation_3,265532,3.66%,
2T,Iced_Phial_of_Corrupting_Rage_70_3,265301,3.57%,
2T,Phial_of_Tepid_Versatility_3,264948,3.43%,
2T,Phial_of_Elemental_Chaos_3,263648,2.92%,
2T,Iced_Phial_of_Corrupting_Rage_50_3,262587,2.51%,
2T,Iced_Phial_of_Corrupting_Rage_40_3,261063,1.91%,
2T,Elemental_Potion_of_Ultimate_Power_3,258638,0.97%,
2T,Elemental_Potion_of_Power_3,257960,0.70%,
2T,Phial_of_Glacial_Fury_3,257948,0.70%,
2T,Bottled_Putrescence_3,257053,0.35%,
2T,Potion_of_Shocking_Disclosure_3,257047,0.35%,
2T,Base,256162,0.00%,
