profile,actor,DPS,increase,
3T,Iced_Phial_of_Corrupting_Rage_95_3,299429,4.81%,
3T,Iced_Phial_of_Corrupting_Rage_85_3,298029,4.32%,
3T,Phial_of_Static_Empowerment_3,296533,3.80%,
3T,Phial_of_Charged_Isolation_3,296527,3.80%,
3T,Iced_Phial_of_Corrupting_Rage_70_3,295766,3.53%,
3T,Phial_of_Tepid_Versatility_3,295509,3.44%,
3T,Phial_of_Elemental_Chaos_3,294243,3.00%,
3T,Iced_Phial_of_Corrupting_Rage_50_3,292752,2.48%,
3T,Iced_Phial_of_Corrupting_Rage_40_3,291147,1.91%,
3T,Elemental_Potion_of_Ultimate_Power_3,288518,0.99%,
3T,Elemental_Potion_of_Power_3,287777,0.74%,
3T,Phial_of_Glacial_Fury_3,287385,0.60%,
3T,Potion_of_Shocking_Disclosure_3,286908,0.43%,
3T,Bottled_Putrescence_3,286903,0.43%,
3T,Base,285677,0.00%,
