profile,actor,DPS,increase,
Composite,Iced_Phial_of_Corrupting_Rage_95_3,412923,4.91%,
Composite,Iced_Phial_of_Corrupting_Rage_85_3,410664,4.34%,
Composite,Iced_Phial_of_Corrupting_Rage_70_3,407786,3.60%,
Composite,Phial_of_Tepid_Versatility_3,405719,3.08%,
Composite,Phial_of_Elemental_Chaos_3,405607,3.05%,
Composite,Phial_of_Charged_Isolation_3,404416,2.75%,
Composite,Phial_of_Static_Empowerment_3,404121,2.67%,
Composite,Iced_Phial_of_Corrupting_Rage_50_3,403478,2.51%,
Composite,Iced_Phial_of_Corrupting_Rage_40_3,401273,1.95%,
Composite,Elemental_Potion_of_Ultimate_Power_3,396606,0.76%,
Composite,Elemental_Potion_of_Power_3,395706,0.54%,
Composite,Phial_of_Glacial_Fury_3,395701,0.53%,
Composite,Bottled_Putrescence_3,394338,0.19%,
Composite,Potion_of_Shocking_Disclosure_3,394273,0.17%,
Composite,Base,393599,0.00%,
