profile,actor,DPS,increase,
Composite,Phial_of_Charged_Isolation_3,102607,5.96%,
Composite,Phial_of_Static_Empowerment_3,102325,5.67%,
Composite,Phial_of_Charged_Isolation_2,101840,5.17%,
Composite,Phial_of_Static_Empowerment_2,101589,4.91%,
Composite,Phial_of_Charged_Isolation_1,101202,4.51%,
Composite,Phial_of_Static_Empowerment_1,100978,4.28%,
Composite,Iced_Phial_of_Corrupting_Rage_3,100187,3.46%,
Composite,Phial_of_Tepid_Versatility_3,100092,3.36%,
Composite,Iced_Phial_of_Corrupting_Rage_2,99933,3.20%,
Composite,Phial_of_Elemental_Chaos_3,99926,3.19%,
Composite,Phial_of_Tepid_Versatility_2,99827,3.09%,
Composite,Phial_of_Elemental_Chaos_2,99715,2.97%,
Composite,Iced_Phial_of_Corrupting_Rage_1,99693,2.95%,
Composite,Phial_of_Tepid_Versatility_1,99582,2.84%,
Composite,Phial_of_Elemental_Chaos_1,99508,2.76%,
Composite,Elemental_Potion_of_Ultimate_Power_3,98475,1.69%,
Composite,Phial_of_Glacial_Fury_3,98438,1.66%,
Composite,Elemental_Potion_of_Ultimate_Power_2,98277,1.49%,
Composite,Phial_of_Glacial_Fury_2,98184,1.39%,
Composite,Elemental_Potion_of_Ultimate_Power_1,98058,1.26%,
Composite,Elemental_Potion_of_Power_3,98050,1.25%,
Composite,Phial_of_Glacial_Fury_1,97998,1.20%,
Composite,Elemental_Potion_of_Power_2,97909,1.11%,
Composite,Elemental_Potion_of_Power_1,97762,0.96%,
Composite,Bottled_Putrescence_3,97521,0.71%,
Composite,Potion_of_Shocking_Disclosure_3,97477,0.66%,
Composite,Bottled_Putrescence_2,97416,0.60%,
Composite,Potion_of_Shocking_Disclosure_2,97355,0.54%,
Composite,Bottled_Putrescence_1,97328,0.51%,
Composite,Potion_of_Shocking_Disclosure_1,97297,0.48%,
Composite,Base,96836,0.00%,
