profile,actor,DPS,increase,
Dungeons-Standard,Iced_Phial_of_Corrupting_Rage_95_3,184211,3.75%,
Dungeons-Standard,Iced_Phial_of_Corrupting_Rage_85_3,183500,3.35%,
Dungeons-Standard,Phial_of_Static_Empowerment_3,182698,2.90%,
Dungeons-Standard,Phial_of_Charged_Isolation_3,182491,2.78%,
Dungeons-Standard,Iced_Phial_of_Corrupting_Rage_70_3,182426,2.75%,
Dungeons-Standard,Phial_of_Tepid_Versatility_3,182305,2.68%,
Dungeons-Standard,Phial_of_Elemental_Chaos_3,181635,2.30%,
Dungeons-Standard,Iced_Phial_of_Corrupting_Rage_50_3,181064,1.98%,
Dungeons-Standard,Iced_Phial_of_Corrupting_Rage_40_3,180807,1.83%,
Dungeons-Standard,Phial_of_Glacial_Fury_3,179259,0.96%,
Dungeons-Standard,Elemental_Potion_of_Ultimate_Power_3,178320,0.43%,
Dungeons-Standard,Elemental_Potion_of_Power_3,178126,0.32%,
Dungeons-Standard,Bottled_Putrescence_3,177931,0.21%,
Dungeons-Standard,Potion_of_Shocking_Disclosure_3,177922,0.21%,
Dungeons-Standard,Base,177551,0.00%,
