profile,actor,DPS,increase,
Single,Iced_Phial_of_Corrupting_Rage_95_3,242367,4.79%,
Single,Iced_Phial_of_Corrupting_Rage_85_3,241103,4.24%,
Single,Iced_Phial_of_Corrupting_Rage_70_3,239469,3.54%,
Single,Phial_of_Charged_Isolation_3,239321,3.47%,
Single,Phial_of_Static_Empowerment_3,239198,3.42%,
Single,Phial_of_Tepid_Versatility_3,239060,3.36%,
Single,Phial_of_Elemental_Chaos_3,238666,3.19%,
Single,Iced_Phial_of_Corrupting_Rage_50_3,237083,2.50%,
Single,Iced_Phial_of_Corrupting_Rage_40_3,235756,1.93%,
Single,Elemental_Potion_of_Ultimate_Power_3,233408,0.92%,
Single,Phial_of_Glacial_Fury_3,233280,0.86%,
Single,Elemental_Potion_of_Power_3,232805,0.66%,
Single,Bottled_Putrescence_3,231831,0.23%,
Single,Potion_of_Shocking_Disclosure_3,231788,0.22%,
Single,Base,231290,0.00%,
