profile,actor,DPS,increase,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_95_3,139005,4.12%,
algethar-tyran,Phial_of_Static_Empowerment_3,138926,4.06%,
algethar-tyran,Phial_of_Charged_Isolation_3,138761,3.93%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_95_2,138561,3.78%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_85_3,138410,3.67%,
algethar-tyran,Phial_of_Static_Empowerment_2,138224,3.53%,
algethar-tyran,Phial_of_Charged_Isolation_2,138116,3.45%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_95_1,138068,3.41%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_85_2,138035,3.39%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_85_1,137698,3.14%,
algethar-tyran,Phial_of_Static_Empowerment_1,137650,3.10%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_70_3,137575,3.05%,
algethar-tyran,Phial_of_Charged_Isolation_1,137523,3.01%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_70_2,137196,2.76%,
algethar-tyran,Phial_of_Elemental_Chaos_3,137156,2.73%,
algethar-tyran,Phial_of_Tepid_Versatility_3,137067,2.66%,
algethar-tyran,Iced_Phial_of_Corrupting_Rage_70_1,136908,2.55%,
algethar-tyran,Phial_of_Tepid_Versatility_2,136837,2.49%,
algethar-tyran,Phial_of_Elemental_Chaos_2,136820,2.48%,
algethar-tyran,Phial_of_Elemental_Chaos_1,136697,2.39%,
algethar-tyran,Phial_of_Tepid_Versatility_1,136552,2.28%,
algethar-tyran,Phial_of_Glacial_Fury_3,135171,1.24%,
algethar-tyran,Phial_of_Glacial_Fury_2,134944,1.07%,
algethar-tyran,Phial_of_Glacial_Fury_1,134743,0.92%,
algethar-tyran,Elemental_Potion_of_Ultimate_Power_3,134253,0.56%,
algethar-tyran,Potion_of_Shocking_Disclosure_3,134216,0.53%,
algethar-tyran,Elemental_Potion_of_Ultimate_Power_2,134207,0.52%,
algethar-tyran,Bottled_Putrescence_3,134198,0.52%,
algethar-tyran,Bottled_Putrescence_1,134120,0.46%,
algethar-tyran,Elemental_Potion_of_Power_3,134104,0.45%,
algethar-tyran,Elemental_Potion_of_Ultimate_Power_1,134086,0.43%,
algethar-tyran,Bottled_Putrescence_2,134077,0.43%,
algethar-tyran,Potion_of_Shocking_Disclosure_2,134067,0.42%,
algethar-tyran,Potion_of_Shocking_Disclosure_1,134064,0.42%,
algethar-tyran,Elemental_Potion_of_Power_1,133963,0.34%,
algethar-tyran,Elemental_Potion_of_Power_2,133958,0.34%,
algethar-tyran,Base,133509,0.00%,
