profile,actor,DPS,increase,
azure-fort,Phial_of_Static_Empowerment_3,96177,4.60%,
azure-fort,Phial_of_Charged_Isolation_3,96008,4.42%,
azure-fort,Phial_of_Static_Empowerment_2,95659,4.04%,
azure-fort,Phial_of_Charged_Isolation_2,95507,3.88%,
azure-fort,Phial_of_Static_Empowerment_1,95198,3.54%,
azure-fort,Phial_of_Charged_Isolation_1,95078,3.41%,
azure-fort,Phial_of_Tepid_Versatility_3,94499,2.78%,
azure-fort,Iced_Phial_of_Corrupting_Rage_3,94335,2.60%,
azure-fort,Phial_of_Tepid_Versatility_2,94321,2.59%,
azure-fort,Iced_Phial_of_Corrupting_Rage_2,94184,2.44%,
azure-fort,Phial_of_Elemental_Chaos_3,94183,2.44%,
azure-fort,Phial_of_Tepid_Versatility_1,94149,2.40%,
azure-fort,Phial_of_Elemental_Chaos_2,94040,2.28%,
azure-fort,Iced_Phial_of_Corrupting_Rage_1,93983,2.22%,
azure-fort,Phial_of_Elemental_Chaos_1,93921,2.15%,
azure-fort,Phial_of_Glacial_Fury_3,93590,1.79%,
azure-fort,Phial_of_Glacial_Fury_2,93387,1.57%,
azure-fort,Phial_of_Glacial_Fury_1,93179,1.34%,
azure-fort,Elemental_Potion_of_Ultimate_Power_3,92597,0.71%,
azure-fort,Elemental_Potion_of_Ultimate_Power_2,92515,0.62%,
azure-fort,Bottled_Putrescence_3,92438,0.54%,
azure-fort,Elemental_Potion_of_Ultimate_Power_1,92431,0.53%,
azure-fort,Elemental_Potion_of_Power_3,92428,0.53%,
azure-fort,Potion_of_Shocking_Disclosure_3,92415,0.51%,
azure-fort,Elemental_Potion_of_Power_2,92396,0.49%,
azure-fort,Elemental_Potion_of_Power_1,92366,0.46%,
azure-fort,Potion_of_Shocking_Disclosure_2,92362,0.45%,
azure-fort,Bottled_Putrescence_2,92361,0.45%,
azure-fort,Bottled_Putrescence_1,92353,0.44%,
azure-fort,Potion_of_Shocking_Disclosure_1,92267,0.35%,
azure-fort,Base,91944,0.00%,
