profile,actor,DPS,increase,
cos-fort,Phial_of_Static_Empowerment_3,77642,4.04%,
cos-fort,Phial_of_Charged_Isolation_3,77521,3.88%,
cos-fort,Phial_of_Static_Empowerment_2,77304,3.58%,
cos-fort,Phial_of_Charged_Isolation_2,77211,3.46%,
cos-fort,Phial_of_Static_Empowerment_1,77016,3.20%,
cos-fort,Phial_of_Charged_Isolation_1,76941,3.10%,
cos-fort,Phial_of_Tepid_Versatility_3,76558,2.58%,
cos-fort,Iced_Phial_of_Corrupting_Rage_3,76450,2.44%,
cos-fort,Phial_of_Tepid_Versatility_2,76446,2.43%,
cos-fort,Phial_of_Elemental_Chaos_3,76332,2.28%,
cos-fort,Iced_Phial_of_Corrupting_Rage_2,76331,2.28%,
cos-fort,Phial_of_Elemental_Chaos_2,76251,2.17%,
cos-fort,Phial_of_Tepid_Versatility_1,76245,2.17%,
cos-fort,Iced_Phial_of_Corrupting_Rage_1,76219,2.13%,
cos-fort,Phial_of_Elemental_Chaos_1,76115,1.99%,
cos-fort,Phial_of_Glacial_Fury_3,75986,1.82%,
cos-fort,Phial_of_Glacial_Fury_2,75805,1.58%,
cos-fort,Phial_of_Glacial_Fury_1,75650,1.37%,
cos-fort,Elemental_Potion_of_Ultimate_Power_3,75048,0.56%,
cos-fort,Elemental_Potion_of_Ultimate_Power_2,75010,0.51%,
cos-fort,Elemental_Potion_of_Power_3,75004,0.50%,
cos-fort,Elemental_Potion_of_Ultimate_Power_1,74966,0.45%,
cos-fort,Elemental_Potion_of_Power_2,74910,0.38%,
cos-fort,Bottled_Putrescence_3,74896,0.36%,
cos-fort,Bottled_Putrescence_2,74880,0.34%,
cos-fort,Elemental_Potion_of_Power_1,74879,0.33%,
cos-fort,Bottled_Putrescence_1,74865,0.32%,
cos-fort,Potion_of_Shocking_Disclosure_3,74862,0.31%,
cos-fort,Potion_of_Shocking_Disclosure_2,74853,0.30%,
cos-fort,Potion_of_Shocking_Disclosure_1,74828,0.27%,
cos-fort,Base,74629,0.00%,
