profile,actor,DPS,increase,
freehold-fort,Phial_of_Static_Empowerment_3,154458,4.77%,
freehold-fort,Phial_of_Charged_Isolation_3,154260,4.63%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_95_3,154171,4.57%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_95_2,153735,4.28%,
freehold-fort,Phial_of_Static_Empowerment_2,153622,4.20%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_85_3,153562,4.16%,
freehold-fort,Phial_of_Charged_Isolation_2,153551,4.15%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_95_1,153363,4.03%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_85_2,153142,3.88%,
freehold-fort,Phial_of_Static_Empowerment_1,153042,3.81%,
freehold-fort,Phial_of_Charged_Isolation_1,152865,3.69%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_85_1,152803,3.65%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_70_3,152651,3.54%,
freehold-fort,Phial_of_Tepid_Versatility_3,152405,3.38%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_70_2,152277,3.29%,
freehold-fort,Phial_of_Tepid_Versatility_2,152116,3.18%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_70_1,152006,3.11%,
freehold-fort,Phial_of_Elemental_Chaos_3,151959,3.07%,
freehold-fort,Phial_of_Tepid_Versatility_1,151732,2.92%,
freehold-fort,Phial_of_Elemental_Chaos_2,151648,2.86%,
freehold-fort,Phial_of_Elemental_Chaos_1,151503,2.76%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_50_3,151229,2.58%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_50_2,150979,2.41%,
freehold-fort,Iced_Phial_of_Corrupting_Rage_50_1,150786,2.28%,
freehold-fort,Phial_of_Glacial_Fury_3,149486,1.40%,
freehold-fort,Phial_of_Glacial_Fury_2,149192,1.20%,
freehold-fort,Phial_of_Glacial_Fury_1,149031,1.09%,
freehold-fort,Elemental_Potion_of_Ultimate_Power_3,149003,1.07%,
freehold-fort,Elemental_Potion_of_Ultimate_Power_2,148697,0.86%,
freehold-fort,Elemental_Potion_of_Ultimate_Power_1,148586,0.79%,
freehold-fort,Elemental_Potion_of_Power_3,148536,0.75%,
freehold-fort,Elemental_Potion_of_Power_2,148435,0.68%,
freehold-fort,Bottled_Putrescence_3,148356,0.63%,
freehold-fort,Potion_of_Shocking_Disclosure_3,148306,0.60%,
freehold-fort,Elemental_Potion_of_Power_1,148295,0.59%,
freehold-fort,Potion_of_Shocking_Disclosure_2,148251,0.56%,
freehold-fort,Bottled_Putrescence_2,148204,0.53%,
freehold-fort,Bottled_Putrescence_1,148181,0.51%,
freehold-fort,Potion_of_Shocking_Disclosure_1,148102,0.46%,
freehold-fort,Base,147428,0.00%,
