profile,actor,DPS,increase,
nelths-fort,Phial_of_Static_Empowerment_3,115394,3.74%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_95_3,115334,3.69%,
nelths-fort,Phial_of_Charged_Isolation_3,115240,3.61%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_95_2,114938,3.33%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_85_3,114890,3.29%,
nelths-fort,Phial_of_Static_Empowerment_2,114842,3.25%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_95_1,114765,3.18%,
nelths-fort,Phial_of_Charged_Isolation_2,114686,3.11%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_85_2,114623,3.05%,
nelths-fort,Phial_of_Static_Empowerment_1,114452,2.90%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_85_1,114336,2.79%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_70_3,114306,2.77%,
nelths-fort,Phial_of_Charged_Isolation_1,114291,2.75%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_70_2,114156,2.63%,
nelths-fort,Phial_of_Elemental_Chaos_3,114027,2.51%,
nelths-fort,Phial_of_Tepid_Versatility_3,113995,2.49%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_70_1,113897,2.40%,
nelths-fort,Phial_of_Tepid_Versatility_2,113804,2.31%,
nelths-fort,Phial_of_Elemental_Chaos_2,113769,2.28%,
nelths-fort,Phial_of_Tepid_Versatility_1,113676,2.20%,
nelths-fort,Phial_of_Elemental_Chaos_1,113653,2.18%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_50_3,113487,2.03%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_50_2,113379,1.93%,
nelths-fort,Iced_Phial_of_Corrupting_Rage_50_1,113191,1.76%,
nelths-fort,Phial_of_Glacial_Fury_3,112661,1.29%,
nelths-fort,Phial_of_Glacial_Fury_2,112507,1.15%,
nelths-fort,Phial_of_Glacial_Fury_1,112295,0.96%,
nelths-fort,Elemental_Potion_of_Ultimate_Power_3,111789,0.50%,
nelths-fort,Elemental_Potion_of_Ultimate_Power_2,111689,0.41%,
nelths-fort,Elemental_Potion_of_Ultimate_Power_1,111675,0.40%,
nelths-fort,Elemental_Potion_of_Power_2,111630,0.36%,
nelths-fort,Elemental_Potion_of_Power_3,111619,0.35%,
nelths-fort,Potion_of_Shocking_Disclosure_2,111591,0.32%,
nelths-fort,Potion_of_Shocking_Disclosure_3,111549,0.29%,
nelths-fort,Bottled_Putrescence_2,111518,0.26%,
nelths-fort,Bottled_Putrescence_3,111506,0.25%,
nelths-fort,Elemental_Potion_of_Power_1,111499,0.24%,
nelths-fort,Potion_of_Shocking_Disclosure_1,111488,0.23%,
nelths-fort,Bottled_Putrescence_1,111374,0.13%,
nelths-fort,Base,111230,0.00%,
