profile,actor,DPS,increase,
nelths-tyran,Phial_of_Static_Empowerment_3,109143,5.38%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_95_3,108977,5.22%,
nelths-tyran,Phial_of_Charged_Isolation_3,108942,5.18%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_95_2,108576,4.83%,
nelths-tyran,Phial_of_Static_Empowerment_2,108479,4.74%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_85_3,108428,4.69%,
nelths-tyran,Phial_of_Charged_Isolation_2,108267,4.53%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_95_1,108189,4.46%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_85_2,108056,4.33%,
nelths-tyran,Phial_of_Static_Empowerment_1,107855,4.13%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_85_1,107711,4.00%,
nelths-tyran,Phial_of_Charged_Isolation_1,107660,3.95%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_70_3,107590,3.88%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_70_2,107256,3.56%,
nelths-tyran,Phial_of_Tepid_Versatility_3,107231,3.53%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_70_1,106954,3.26%,
nelths-tyran,Phial_of_Elemental_Chaos_3,106942,3.25%,
nelths-tyran,Phial_of_Tepid_Versatility_2,106913,3.22%,
nelths-tyran,Phial_of_Elemental_Chaos_2,106702,3.02%,
nelths-tyran,Phial_of_Tepid_Versatility_1,106677,3.00%,
nelths-tyran,Phial_of_Elemental_Chaos_1,106483,2.81%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_50_3,106416,2.74%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_50_2,106158,2.50%,
nelths-tyran,Iced_Phial_of_Corrupting_Rage_50_1,105966,2.31%,
nelths-tyran,Phial_of_Glacial_Fury_3,105270,1.64%,
nelths-tyran,Phial_of_Glacial_Fury_2,105069,1.44%,
nelths-tyran,Phial_of_Glacial_Fury_1,104822,1.21%,
nelths-tyran,Elemental_Potion_of_Ultimate_Power_3,104104,0.51%,
nelths-tyran,Elemental_Potion_of_Ultimate_Power_2,104088,0.50%,
nelths-tyran,Elemental_Potion_of_Power_3,103992,0.40%,
nelths-tyran,Elemental_Potion_of_Ultimate_Power_1,103939,0.35%,
nelths-tyran,Bottled_Putrescence_3,103910,0.33%,
nelths-tyran,Potion_of_Shocking_Disclosure_3,103905,0.32%,
nelths-tyran,Elemental_Potion_of_Power_2,103889,0.31%,
nelths-tyran,Potion_of_Shocking_Disclosure_2,103882,0.30%,
nelths-tyran,Elemental_Potion_of_Power_1,103860,0.28%,
nelths-tyran,Potion_of_Shocking_Disclosure_1,103860,0.28%,
nelths-tyran,Bottled_Putrescence_2,103840,0.26%,
nelths-tyran,Bottled_Putrescence_1,103802,0.22%,
nelths-tyran,Base,103573,0.00%,
