profile,actor,DPS,increase,
temple-fort,Phial_of_Static_Empowerment_3,79826,4.10%,
temple-fort,Phial_of_Charged_Isolation_3,79753,4.00%,
temple-fort,Phial_of_Static_Empowerment_2,79478,3.64%,
temple-fort,Phial_of_Charged_Isolation_2,79303,3.42%,
temple-fort,Phial_of_Static_Empowerment_1,79050,3.09%,
temple-fort,Phial_of_Charged_Isolation_1,78940,2.94%,
temple-fort,Iced_Phial_of_Corrupting_Rage_3,78424,2.27%,
temple-fort,Phial_of_Tepid_Versatility_3,78420,2.26%,
temple-fort,Phial_of_Tepid_Versatility_2,78315,2.13%,
temple-fort,Iced_Phial_of_Corrupting_Rage_2,78314,2.13%,
temple-fort,Phial_of_Elemental_Chaos_3,78296,2.10%,
temple-fort,Iced_Phial_of_Corrupting_Rage_1,78223,2.01%,
temple-fort,Phial_of_Tepid_Versatility_1,78199,1.98%,
temple-fort,Phial_of_Elemental_Chaos_2,78192,1.97%,
temple-fort,Phial_of_Elemental_Chaos_1,78084,1.83%,
temple-fort,Phial_of_Glacial_Fury_3,77971,1.68%,
temple-fort,Phial_of_Glacial_Fury_2,77772,1.42%,
temple-fort,Phial_of_Glacial_Fury_1,77635,1.24%,
temple-fort,Elemental_Potion_of_Ultimate_Power_3,77194,0.67%,
temple-fort,Elemental_Potion_of_Ultimate_Power_2,77117,0.56%,
temple-fort,Elemental_Potion_of_Power_3,77096,0.54%,
temple-fort,Elemental_Potion_of_Ultimate_Power_1,77090,0.53%,
temple-fort,Bottled_Putrescence_3,77041,0.47%,
temple-fort,Elemental_Potion_of_Power_2,77026,0.45%,
temple-fort,Potion_of_Shocking_Disclosure_3,77024,0.44%,
temple-fort,Bottled_Putrescence_2,77016,0.43%,
temple-fort,Elemental_Potion_of_Power_1,77001,0.41%,
temple-fort,Potion_of_Shocking_Disclosure_2,76994,0.40%,
temple-fort,Bottled_Putrescence_1,76980,0.39%,
temple-fort,Potion_of_Shocking_Disclosure_1,76945,0.34%,
temple-fort,Base,76684,0.00%,
