profile,actor,DPS,increase,
ulda-tyran,Phial_of_Static_Empowerment_3,138159,5.45%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_95_3,137913,5.26%,
ulda-tyran,Phial_of_Charged_Isolation_3,137864,5.22%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_95_2,137368,4.84%,
ulda-tyran,Phial_of_Static_Empowerment_2,137195,4.71%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_85_3,137140,4.67%,
ulda-tyran,Phial_of_Charged_Isolation_2,136923,4.50%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_95_1,136803,4.41%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_85_2,136689,4.33%,
ulda-tyran,Phial_of_Static_Empowerment_1,136324,4.05%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_85_1,136226,3.97%,
ulda-tyran,Phial_of_Charged_Isolation_1,136163,3.92%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_70_3,136022,3.82%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_70_2,135684,3.56%,
ulda-tyran,Phial_of_Tepid_Versatility_3,135646,3.53%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_70_1,135338,3.29%,
ulda-tyran,Phial_of_Elemental_Chaos_3,135281,3.25%,
ulda-tyran,Phial_of_Tepid_Versatility_2,135263,3.24%,
ulda-tyran,Phial_of_Elemental_Chaos_2,134999,3.04%,
ulda-tyran,Phial_of_Tepid_Versatility_1,134936,2.99%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_50_3,134682,2.79%,
ulda-tyran,Phial_of_Elemental_Chaos_1,134679,2.79%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_50_2,134405,2.58%,
ulda-tyran,Iced_Phial_of_Corrupting_Rage_50_1,134085,2.34%,
ulda-tyran,Phial_of_Glacial_Fury_3,133053,1.55%,
ulda-tyran,Phial_of_Glacial_Fury_2,132772,1.34%,
ulda-tyran,Phial_of_Glacial_Fury_1,132526,1.15%,
ulda-tyran,Elemental_Potion_of_Ultimate_Power_3,132300,0.98%,
ulda-tyran,Elemental_Potion_of_Ultimate_Power_2,132155,0.86%,
ulda-tyran,Elemental_Potion_of_Ultimate_Power_1,132004,0.75%,
ulda-tyran,Elemental_Potion_of_Power_3,131956,0.71%,
ulda-tyran,Elemental_Potion_of_Power_2,131763,0.57%,
ulda-tyran,Elemental_Potion_of_Power_1,131740,0.55%,
ulda-tyran,Bottled_Putrescence_2,131700,0.52%,
ulda-tyran,Bottled_Putrescence_3,131685,0.51%,
ulda-tyran,Potion_of_Shocking_Disclosure_3,131636,0.47%,
ulda-tyran,Bottled_Putrescence_1,131562,0.41%,
ulda-tyran,Potion_of_Shocking_Disclosure_2,131492,0.36%,
ulda-tyran,Potion_of_Shocking_Disclosure_1,131387,0.28%,
ulda-tyran,Base,131022,0.00%,
