profile,actor,DPS,increase,
ur-fort,Phial_of_Static_Empowerment_3,127065,4.05%,
ur-fort,Iced_Phial_of_Corrupting_Rage_95_3,126980,3.98%,
ur-fort,Phial_of_Charged_Isolation_3,126817,3.84%,
ur-fort,Iced_Phial_of_Corrupting_Rage_95_2,126602,3.67%,
ur-fort,Iced_Phial_of_Corrupting_Rage_85_3,126404,3.51%,
ur-fort,Phial_of_Static_Empowerment_2,126332,3.45%,
ur-fort,Phial_of_Charged_Isolation_2,126186,3.33%,
ur-fort,Iced_Phial_of_Corrupting_Rage_95_1,126146,3.29%,
ur-fort,Iced_Phial_of_Corrupting_Rage_85_2,126008,3.18%,
ur-fort,Phial_of_Static_Empowerment_1,125790,3.00%,
ur-fort,Iced_Phial_of_Corrupting_Rage_85_1,125655,2.89%,
ur-fort,Iced_Phial_of_Corrupting_Rage_70_3,125538,2.80%,
ur-fort,Phial_of_Charged_Isolation_1,125521,2.78%,
ur-fort,Iced_Phial_of_Corrupting_Rage_70_2,125225,2.54%,
ur-fort,Phial_of_Tepid_Versatility_3,125127,2.46%,
ur-fort,Phial_of_Elemental_Chaos_3,124967,2.33%,
ur-fort,Iced_Phial_of_Corrupting_Rage_70_1,124921,2.29%,
ur-fort,Phial_of_Tepid_Versatility_2,124824,2.21%,
ur-fort,Phial_of_Elemental_Chaos_2,124788,2.18%,
ur-fort,Phial_of_Tepid_Versatility_1,124621,2.05%,
ur-fort,Phial_of_Elemental_Chaos_1,124575,2.01%,
ur-fort,Iced_Phial_of_Corrupting_Rage_50_3,124374,1.84%,
ur-fort,Iced_Phial_of_Corrupting_Rage_50_2,124230,1.73%,
ur-fort,Iced_Phial_of_Corrupting_Rage_50_1,124017,1.55%,
ur-fort,Phial_of_Glacial_Fury_3,123470,1.10%,
ur-fort,Phial_of_Glacial_Fury_2,123281,0.95%,
ur-fort,Phial_of_Glacial_Fury_1,123099,0.80%,
ur-fort,Elemental_Potion_of_Ultimate_Power_3,122695,0.47%,
ur-fort,Elemental_Potion_of_Ultimate_Power_2,122589,0.38%,
ur-fort,Elemental_Potion_of_Ultimate_Power_1,122570,0.37%,
ur-fort,Elemental_Potion_of_Power_3,122527,0.33%,
ur-fort,Elemental_Potion_of_Power_2,122492,0.30%,
ur-fort,Potion_of_Shocking_Disclosure_3,122480,0.29%,
ur-fort,Potion_of_Shocking_Disclosure_2,122478,0.29%,
ur-fort,Bottled_Putrescence_2,122464,0.28%,
ur-fort,Elemental_Potion_of_Power_1,122462,0.28%,
ur-fort,Potion_of_Shocking_Disclosure_1,122405,0.23%,
ur-fort,Bottled_Putrescence_3,122380,0.21%,
ur-fort,Bottled_Putrescence_1,122339,0.18%,
ur-fort,Base,122123,0.00%,
