profile,actor,DPS,increase,
2T,Draconic_Augment_Rune,71948,0.90%,
2T,Fated_Fortune_Cookie,71885,0.81%,
2T,Feisty_Fish_Sticks,71666,0.51%,
2T,Great_Cerulean_Sea,71649,0.48%,
2T,Thousandbone_Tongueslicer,71645,0.48%,
2T,Aromatic_Seafood_Platter,71629,0.45%,
2T,Sizzling_Seafood_Medley,71626,0.45%,
2T,Roast_Duck_Delight,71622,0.44%,
2T,Revenge_Served_Cold,71620,0.44%,
2T,Filet_of_Fangs,71589,0.40%,
2T,Timely_Demise,71566,0.37%,
2T,Salt_Baked_Fishcake,71557,0.35%,
2T,Seamoth_Surprise,71554,0.35%,
2T,Thrice_Spiced_Mammoth_Kabob,71503,0.28%,
2T,Base,71305,0.00%,
