profile,actor,DPS,increase,
4T,Draconic_Augment_Rune,273951,0.83%,
4T,Great_Cerulean_Sea,273540,0.68%,
4T,Fated_Fortune_Cookie,273475,0.65%,
4T,Revenge_Served_Cold,273469,0.65%,
4T,Thousandbone_Tongueslicer,273425,0.63%,
4T,Salt_Baked_Fishcake,273339,0.60%,
4T,Sizzling_Seafood_Medley,273160,0.54%,
4T,Timely_Demise,273132,0.53%,
4T,Seamoth_Surprise,273122,0.52%,
4T,Filet_of_Fangs,273054,0.50%,
4T,Aromatic_Seafood_Platter,273019,0.49%,
4T,Feisty_Fish_Sticks,272967,0.47%,
4T,Roast_Duck_Delight,272465,0.28%,
4T,Thrice_Spiced_Mammoth_Kabob,272221,0.19%,
4T,Base,271700,0.00%,
