profile,actor,DPS,increase,
Composite,Aromatic_Seafood_Platter,263674,0.60%,
Composite,Revenge_Served_Cold,263672,0.60%,
Composite,Great_Cerulean_Sea,263640,0.59%,
Composite,Thousandbone_Tongueslicer,263640,0.59%,
Composite,Feisty_Fish_Sticks,263596,0.57%,
Composite,Sizzling_Seafood_Medley,263587,0.57%,
Composite,Draconic_Augment_Rune,263485,0.53%,
Composite,Dreambound_Augment_Rune,263433,0.51%,
Composite,Seamoth_Surprise,263330,0.47%,
Composite,Fated_Fortune_Cookie,263279,0.45%,
Composite,Filet_of_Fangs,263273,0.45%,
Composite,Salt_Baked_Fishcake,263271,0.45%,
Composite,Timely_Demise,263218,0.43%,
Composite,Roast_Duck_Delight,262555,0.18%,
Composite,Thrice_Spiced_Mammoth_Kabob,262437,0.13%,
Composite,Base,262094,0.00%,
