profile,actor,DPS,increase,
Composite,Draconic_Augment_Rune,129459,0.73%,
Composite,Thousandbone_Tongueslicer,129358,0.65%,
Composite,Great_Cerulean_Sea,129338,0.64%,
Composite,Fated_Fortune_Cookie,129315,0.62%,
Composite,Sizzling_Seafood_Medley,129294,0.60%,
Composite,Revenge_Served_Cold,129277,0.59%,
Composite,Salt_Baked_Fishcake,129217,0.54%,
Composite,Feisty_Fish_Sticks,129200,0.53%,
Composite,Aromatic_Seafood_Platter,129179,0.51%,
Composite,Filet_of_Fangs,129114,0.46%,
Composite,Seamoth_Surprise,129085,0.44%,
Composite,Timely_Demise,128987,0.36%,
Composite,Roast_Duck_Delight,128812,0.23%,
Composite,Thrice_Spiced_Mammoth_Kabob,128728,0.16%,
Composite,Base,128521,0.00%,
