profile,actor,DPS,increase,
Composite,Feisty_Fish_Sticks,224794,0.63%,
Composite,Aromatic_Seafood_Platter,224782,0.63%,
Composite,Sizzling_Seafood_Medley,224702,0.59%,
Composite,Revenge_Served_Cold,224689,0.58%,
Composite,Thousandbone_Tongueslicer,224626,0.56%,
Composite,Great_Cerulean_Sea,224581,0.54%,
Composite,Dreambound_Augment_Rune,224486,0.49%,
Composite,Draconic_Augment_Rune,224482,0.49%,
Composite,Filet_of_Fangs,224397,0.45%,
Composite,Seamoth_Surprise,224392,0.45%,
Composite,Timely_Demise,224375,0.44%,
Composite,Fated_Fortune_Cookie,224313,0.41%,
Composite,Salt_Baked_Fishcake,224243,0.38%,
Composite,Roast_Duck_Delight,223725,0.15%,
Composite,Thrice_Spiced_Mammoth_Kabob,223649,0.12%,
Composite,Base,223386,0.00%,
