profile,actor,DPS,increase,
Dungeons-Standard,Revenge_Served_Cold,183429,0.51%,
Dungeons-Standard,Great_Cerulean_Sea,183381,0.48%,
Dungeons-Standard,Thousandbone_Tongueslicer,183366,0.47%,
Dungeons-Standard,Aromatic_Seafood_Platter,183351,0.46%,
Dungeons-Standard,Feisty_Fish_Sticks,183330,0.45%,
Dungeons-Standard,Dreambound_Augment_Rune,183289,0.43%,
Dungeons-Standard,Draconic_Augment_Rune,183285,0.43%,
Dungeons-Standard,Sizzling_Seafood_Medley,183269,0.42%,
Dungeons-Standard,Seamoth_Surprise,183255,0.41%,
Dungeons-Standard,Filet_of_Fangs,183214,0.39%,
Dungeons-Standard,Fated_Fortune_Cookie,183189,0.37%,
Dungeons-Standard,Salt_Baked_Fishcake,183127,0.34%,
Dungeons-Standard,Timely_Demise,183025,0.28%,
Dungeons-Standard,Roast_Duck_Delight,182806,0.16%,
Dungeons-Standard,Thrice_Spiced_Mammoth_Kabob,182719,0.12%,
Dungeons-Standard,Base,182505,0.00%,
