profile,actor,DPS,increase,
Dungeons,Draconic_Augment_Rune,65919,0.86%,
Dungeons,Feisty_Fish_Sticks,65862,0.78%,
Dungeons,Thousandbone_Tongueslicer,65843,0.75%,
Dungeons,Timely_Demise,65834,0.73%,
Dungeons,Aromatic_Seafood_Platter,65819,0.71%,
Dungeons,Sizzling_Seafood_Medley,65794,0.67%,
Dungeons,Revenge_Served_Cold,65777,0.65%,
Dungeons,Fated_Fortune_Cookie,65757,0.62%,
Dungeons,Great_Cerulean_Sea,65727,0.57%,
Dungeons,Filet_of_Fangs,65718,0.56%,
Dungeons,Salt_Baked_Fishcake,65714,0.55%,
Dungeons,Seamoth_Surprise,65663,0.47%,
Dungeons,Roast_Duck_Delight,65602,0.38%,
Dungeons,Thrice_Spiced_Mammoth_Kabob,65468,0.17%,
Dungeons,Base,65355,0.00%,
