profile,actor,DPS,increase,
Dungeons,Spectral_Flask_of_Power,11956,2.99%,
Dungeons,Potion_of_Spectral_Intellect,11750,1.21%,
Dungeons,Potion_of_Phantom_Fire,11726,1.01%,
Dungeons,Veiled_Augment_Rune,11701,0.79%,
Dungeons,Steak_a_la_Mode,11693,0.72%,
Dungeons,Tenebrous_Crown_Roast_Aspic,11692,0.71%,
Dungeons,Spinefin_Souffle_and_Fries,11690,0.70%,
Dungeons,Iridescent_Ravioli_with_Apple_Sauce,11687,0.67%,
Dungeons,Feast_of_Gluttonous_Hedonism,11686,0.66%,
Dungeons,Potion_of_Empowered_Exorcisms,11683,0.64%,
Dungeons,16_Haste,11661,0.45%,
Dungeons,Potion_of_Deathly_Fixation,11651,0.36%,
Dungeons,16_Versatility,11648,0.34%,
Dungeons,7_Intellect,11647,0.33%,
Dungeons,16_Critical_Strike,11646,0.32%,
Dungeons,16_Mastery,11645,0.31%,
Dungeons,6_Intellect,11643,0.29%,
Dungeons,Base,11609,0.00%,
