profile,actor,DPS,increase,
Dungeons,Draconic_Augment_Rune,133681,0.70%,
Dungeons,Thousandbone_Tongueslicer,133577,0.62%,
Dungeons,Fated_Fortune_Cookie,133565,0.61%,
Dungeons,Great_Cerulean_Sea,133556,0.61%,
Dungeons,Revenge_Served_Cold,133535,0.59%,
Dungeons,Sizzling_Seafood_Medley,133496,0.56%,
Dungeons,Aromatic_Seafood_Platter,133459,0.53%,
Dungeons,Feisty_Fish_Sticks,133457,0.53%,
Dungeons,Salt_Baked_Fishcake,133409,0.50%,
Dungeons,Timely_Demise,133380,0.47%,
Dungeons,Filet_of_Fangs,133360,0.46%,
Dungeons,Seamoth_Surprise,133343,0.45%,
Dungeons,Roast_Duck_Delight,133092,0.26%,
Dungeons,Thrice_Spiced_Mammoth_Kabob,132980,0.17%,
Dungeons,Base,132750,0.00%,
