profile,actor,DPS,increase,
Single,Aromatic_Seafood_Platter,194396,0.74%,
Single,Feisty_Fish_Sticks,194339,0.71%,
Single,Sizzling_Seafood_Medley,194301,0.69%,
Single,Revenge_Served_Cold,194182,0.63%,
Single,Great_Cerulean_Sea,194086,0.58%,
Single,Thousandbone_Tongueslicer,194055,0.56%,
Single,Dreambound_Augment_Rune,194010,0.54%,
Single,Timely_Demise,193979,0.52%,
Single,Draconic_Augment_Rune,193964,0.51%,
Single,Seamoth_Surprise,193928,0.49%,
Single,Filet_of_Fangs,193871,0.47%,
Single,Fated_Fortune_Cookie,193844,0.45%,
Single,Salt_Baked_Fishcake,193795,0.43%,
Single,Roast_Duck_Delight,193326,0.18%,
Single,Thrice_Spiced_Mammoth_Kabob,193159,0.10%,
Single,Base,192973,0.00%,
