profile,actor,DPS,increase,
Single,Draconic_Augment_Rune,75540,0.77%,
Single,Thousandbone_Tongueslicer,75466,0.67%,
Single,Fated_Fortune_Cookie,75465,0.67%,
Single,Sizzling_Seafood_Medley,75449,0.65%,
Single,Great_Cerulean_Sea,75435,0.63%,
Single,Revenge_Served_Cold,75417,0.61%,
Single,Feisty_Fish_Sticks,75377,0.55%,
Single,Salt_Baked_Fishcake,75370,0.55%,
Single,Aromatic_Seafood_Platter,75370,0.54%,
Single,Seamoth_Surprise,75300,0.45%,
Single,Filet_of_Fangs,75295,0.45%,
Single,Timely_Demise,75282,0.43%,
Single,Roast_Duck_Delight,75180,0.29%,
Single,Thrice_Spiced_Mammoth_Kabob,75081,0.16%,
Single,Base,74961,0.00%,
