profile,actor,DPS,increase,
Single,Draconic_Augment_Rune,70534,0.78%,
Single,Fated_Fortune_Cookie,70436,0.65%,
Single,Feisty_Fish_Sticks,70282,0.42%,
Single,Thousandbone_Tongueslicer,70281,0.42%,
Single,Great_Cerulean_Sea,70278,0.42%,
Single,Revenge_Served_Cold,70276,0.42%,
Single,Sizzling_Seafood_Medley,70258,0.39%,
Single,Roast_Duck_Delight,70253,0.38%,
Single,Salt_Baked_Fishcake,70242,0.37%,
Single,Filet_of_Fangs,70241,0.37%,
Single,Aromatic_Seafood_Platter,70240,0.37%,
Single,Seamoth_Surprise,70213,0.33%,
Single,Timely_Demise,70174,0.27%,
Single,Thrice_Spiced_Mammoth_Kabob,70126,0.20%,
Single,Base,69984,0.00%,
