profile,actor,DPS,increase,
freehold-fort,Draconic_Augment_Rune,156009,0.65%,
freehold-fort,Thousandbone_Tongueslicer,155957,0.62%,
freehold-fort,Fated_Fortune_Cookie,155869,0.56%,
freehold-fort,Great_Cerulean_Sea,155861,0.55%,
freehold-fort,Feisty_Fish_Sticks,155859,0.55%,
freehold-fort,Sizzling_Seafood_Medley,155859,0.55%,
freehold-fort,Revenge_Served_Cold,155841,0.54%,
freehold-fort,Aromatic_Seafood_Platter,155747,0.48%,
freehold-fort,Salt_Baked_Fishcake,155734,0.47%,
freehold-fort,Filet_of_Fangs,155707,0.45%,
freehold-fort,Timely_Demise,155677,0.44%,
freehold-fort,Seamoth_Surprise,155662,0.43%,
freehold-fort,Roast_Duck_Delight,155413,0.27%,
freehold-fort,Thrice_Spiced_Mammoth_Kabob,155312,0.20%,
freehold-fort,Base,155002,0.00%,
