profile,actor,DPS,increase,
nelths-fort,Great_Cerulean_Sea,113512,0.47%,
nelths-fort,Draconic_Augment_Rune,113510,0.47%,
nelths-fort,Thousandbone_Tongueslicer,113462,0.43%,
nelths-fort,Sizzling_Seafood_Medley,113459,0.43%,
nelths-fort,Revenge_Served_Cold,113452,0.42%,
nelths-fort,Aromatic_Seafood_Platter,113446,0.41%,
nelths-fort,Salt_Baked_Fishcake,113407,0.38%,
nelths-fort,Fated_Fortune_Cookie,113385,0.36%,
nelths-fort,Feisty_Fish_Sticks,113383,0.36%,
nelths-fort,Filet_of_Fangs,113346,0.33%,
nelths-fort,Seamoth_Surprise,113337,0.32%,
nelths-fort,Timely_Demise,113313,0.30%,
nelths-fort,Roast_Duck_Delight,113138,0.14%,
nelths-fort,Thrice_Spiced_Mammoth_Kabob,113123,0.13%,
nelths-fort,Base,112978,0.00%,
