profile,actor,DPS,increase,
rlp-fort,Sizzling_Seafood_Medley,116562,0.26%,
rlp-fort,Draconic_Augment_Rune,116558,0.26%,
rlp-fort,Aromatic_Seafood_Platter,116555,0.26%,
rlp-fort,Feisty_Fish_Sticks,116542,0.24%,
rlp-fort,Fated_Fortune_Cookie,116530,0.23%,
rlp-fort,Great_Cerulean_Sea,116523,0.23%,
rlp-fort,Thousandbone_Tongueslicer,116513,0.22%,
rlp-fort,Revenge_Served_Cold,116510,0.22%,
rlp-fort,Seamoth_Surprise,116500,0.21%,
rlp-fort,Filet_of_Fangs,116487,0.20%,
rlp-fort,Salt_Baked_Fishcake,116460,0.17%,
rlp-fort,Timely_Demise,116446,0.16%,
rlp-fort,Roast_Duck_Delight,116404,0.13%,
rlp-fort,Thrice_Spiced_Mammoth_Kabob,116321,0.05%,
rlp-fort,Base,116258,0.00%,
