profile,actor,DPS,increase,
rlp-fort,Draconic_Augment_Rune,78914,0.70%,
rlp-fort,Fated_Fortune_Cookie,78806,0.56%,
rlp-fort,Sizzling_Seafood_Medley,78746,0.49%,
rlp-fort,Feisty_Fish_Sticks,78741,0.48%,
rlp-fort,Thousandbone_Tongueslicer,78738,0.48%,
rlp-fort,Aromatic_Seafood_Platter,78734,0.47%,
rlp-fort,Revenge_Served_Cold,78727,0.46%,
rlp-fort,Great_Cerulean_Sea,78700,0.43%,
rlp-fort,Timely_Demise,78688,0.41%,
rlp-fort,Salt_Baked_Fishcake,78676,0.40%,
rlp-fort,Seamoth_Surprise,78656,0.37%,
rlp-fort,Filet_of_Fangs,78638,0.35%,
rlp-fort,Roast_Duck_Delight,78564,0.25%,
rlp-fort,Thrice_Spiced_Mammoth_Kabob,78484,0.15%,
rlp-fort,Base,78365,0.00%,
