profile,actor,DPS,increase,
rlp-tyran,Draconic_Augment_Rune,86208,0.67%,
rlp-tyran,Fated_Fortune_Cookie,86120,0.57%,
rlp-tyran,Sizzling_Seafood_Medley,86093,0.54%,
rlp-tyran,Feisty_Fish_Sticks,86077,0.52%,
rlp-tyran,Aromatic_Seafood_Platter,86057,0.50%,
rlp-tyran,Thousandbone_Tongueslicer,86018,0.45%,
rlp-tyran,Revenge_Served_Cold,86008,0.44%,
rlp-tyran,Great_Cerulean_Sea,85995,0.42%,
rlp-tyran,Timely_Demise,85984,0.41%,
rlp-tyran,Seamoth_Surprise,85964,0.39%,
rlp-tyran,Salt_Baked_Fishcake,85952,0.37%,
rlp-tyran,Filet_of_Fangs,85911,0.32%,
rlp-tyran,Roast_Duck_Delight,85841,0.24%,
rlp-tyran,Thrice_Spiced_Mammoth_Kabob,85769,0.16%,
rlp-tyran,Base,85633,0.00%,
