profile,actor,DPS,increase,
3T,Head_Incandescent_Essence_1,284295,1.62%,
3T,Weapon_Wafting_Devotion_3,284163,1.57%,
3T,Weapon_Frozen_Writ_3,284009,1.51%,
3T,Weapon_Sophic_Devotion_3,283822,1.45%,
3T,Weapon_Earthen_Writ_3,283727,1.41%,
3T,Weapon_Wafting_Devotion_2,283660,1.39%,
3T,Weapon_Burning_Writ_3,283648,1.39%,
3T,Weapon_Sophic_Devotion_2,283560,1.35%,
3T,Weapon_Frozen_Writ_2,283556,1.35%,
3T,Weapon_Burning_Writ_2,283488,1.33%,
3T,Temp_Weapon_Hissing_Rune_3,283461,1.32%,
3T,Temp_Weapon_Buzzing_Rune_3,283451,1.31%,
3T,Temp_Weapon_Howling_Rune_3,283433,1.31%,
3T,Weapon_Wafting_Devotion_1,283370,1.29%,
3T,Weapon_Earthen_Writ_2,283362,1.28%,
3T,Weapon_Frozen_Writ_1,283307,1.26%,
3T,Weapon_Wafting_Writ_3,283260,1.25%,
3T,Weapon_Sophic_Devotion_1,283194,1.22%,
3T,Legs_Lambent_Armor_Kit_3,283167,1.21%,
3T,Weapon_Earthen_Writ_1,283157,1.21%,
3T,Legs_Temporal_Spellthread_3,283125,1.20%,
3T,Weapon_Burning_Writ_1,283116,1.19%,
3T,Weapon_Wafting_Writ_2,283109,1.19%,
3T,Temp_Weapon_Hissing_Rune_2,283055,1.17%,
3T,Temp_Weapon_Howling_Rune_2,283031,1.16%,
3T,Weapon_Sophic_Writ_3,283021,1.16%,
3T,Temp_Weapon_Buzzing_Rune_2,282999,1.15%,
3T,Legs_Frozen_Spellthread_3,282998,1.15%,
3T,Weapon_Wafting_Writ_1,282689,1.04%,
3T,Weapon_Sophic_Writ_2,282606,1.01%,
3T,Temp_Weapon_Howling_Rune_1,282598,1.01%,
3T,Legs_Frozen_Spellthread_2,282580,1.00%,
3T,Legs_Lambent_Armor_Kit_2,282541,0.99%,
3T,Legs_Temporal_Spellthread_2,282532,0.99%,
3T,Chest_Waking_Stats_3,282503,0.98%,
3T,Weapon_Sophic_Writ_1,282502,0.98%,
3T,Temp_Weapon_Hissing_Rune_1,282363,0.93%,
3T,Temp_Weapon_Buzzing_Rune_1,282323,0.91%,
3T,Legs_Lambent_Armor_Kit_1,282057,0.82%,
3T,Legs_Frozen_Spellthread_1,282025,0.81%,
3T,Legs_Temporal_Spellthread_1,281953,0.78%,
3T,Chest_Waking_Stats_2,281920,0.77%,
3T,Chest_Waking_Stats_1,281821,0.73%,
3T,Chest_Reserve_of_Intellect_3,281785,0.72%,
3T,Legs_Vibrant_Spellthread_3,281570,0.64%,
3T,Chest_Reserve_of_Intellect_2,281446,0.60%,
3T,Legs_Vibrant_Spellthread_2,281399,0.58%,
3T,Weapon_Shadowflame_Wreathe_3,281187,0.51%,
3T,Weapon_Shadowflame_Wreathe_2,281184,0.50%,
3T,Chest_Reserve_of_Intellect_1,281140,0.49%,
3T,Weapon_Shadowflame_Wreathe_1,281044,0.45%,
3T,Legs_Vibrant_Spellthread_1,281033,0.45%,
3T,Ring_Devotion_of_Mastery_3,280792,0.36%,
3T,Ring_Devotion_of_Versatility_3,280791,0.36%,
3T,Ring_Devotion_of_Critical_Strike_3,280660,0.32%,
3T,Ring_Devotion_of_Versatility_2,280619,0.30%,
3T,Ring_Devotion_of_Critical_Strike_2,280614,0.30%,
3T,Ring_Devotion_of_Critical_Strike_1,280611,0.30%,
3T,Ring_Devotion_of_Versatility_1,280604,0.30%,
3T,Ring_Devotion_of_Mastery_2,280556,0.28%,
3T,Ring_Devotion_of_Mastery_1,280526,0.27%,
3T,Ring_Writ_of_Mastery_3,280490,0.26%,
3T,Ring_Devotion_of_Haste_3,280469,0.25%,
3T,Ring_Devotion_of_Haste_2,280428,0.23%,
3T,Ring_Writ_of_Critical_Strike_3,280426,0.23%,
3T,Ring_Devotion_of_Haste_1,280383,0.22%,
3T,Ring_Writ_of_Versatility_3,280363,0.21%,
3T,Ring_Writ_of_Critical_Strike_2,280348,0.21%,
3T,Ring_Writ_of_Versatility_2,280285,0.18%,
3T,Ring_Writ_of_Haste_3,280266,0.18%,
3T,Ring_Writ_of_Mastery_2,280243,0.17%,
3T,Ring_Writ_of_Haste_2,280200,0.15%,
3T,Ring_Writ_of_Haste_1,280182,0.15%,
3T,Ring_Writ_of_Mastery_1,280181,0.15%,
3T,Ring_Writ_of_Critical_Strike_1,280153,0.14%,
3T,Ring_Writ_of_Versatility_1,280110,0.12%,
3T,Base,279773,0.00%,
