profile,actor,DPS,increase,
3T,Weapon_Wafting_Devotion_3,596125,2.20%,
3T,Weapon_Wafting_Devotion_2,594909,1.99%,
3T,Weapon_Wafting_Devotion_1,594230,1.87%,
3T,Temp_Weapon_Howling_Rune_3,593847,1.81%,
3T,Weapon_Wafting_Writ_3,593761,1.79%,
3T,Weapon_Wafting_Writ_2,592937,1.65%,
3T,Head_Incandescent_Essence_1,592733,1.62%,
3T,Temp_Weapon_Howling_Rune_2,592616,1.60%,
3T,Weapon_Wafting_Writ_1,592402,1.56%,
3T,Weapon_Burning_Writ_3,591666,1.44%,
3T,Weapon_Frozen_Writ_3,591380,1.39%,
3T,Temp_Weapon_Buzzing_Rune_3,591354,1.38%,
3T,Weapon_Burning_Writ_2,591195,1.35%,
3T,Weapon_Earthen_Writ_3,590650,1.26%,
3T,Weapon_Burning_Writ_1,590617,1.26%,
3T,Weapon_Frozen_Writ_2,590600,1.25%,
3T,Temp_Weapon_Howling_Rune_1,590454,1.23%,
3T,Temp_Weapon_Buzzing_Rune_2,590428,1.22%,
3T,Weapon_Earthen_Writ_2,590424,1.22%,
3T,Temp_Weapon_Hissing_Rune_3,590286,1.20%,
3T,Weapon_Frozen_Writ_1,590276,1.20%,
3T,Weapon_Earthen_Writ_1,589886,1.13%,
3T,Temp_Weapon_Hissing_Rune_2,589799,1.12%,
3T,Weapon_Sophic_Devotion_3,589296,1.03%,
3T,Temp_Weapon_Buzzing_Rune_1,589211,1.01%,
3T,Weapon_Sophic_Devotion_2,588806,0.94%,
3T,Temp_Weapon_Hissing_Rune_1,588604,0.91%,
3T,Legs_Lambent_Armor_Kit_3,588519,0.90%,
3T,Weapon_Sophic_Devotion_1,588452,0.88%,
3T,Legs_Temporal_Spellthread_3,588239,0.85%,
3T,Legs_Frozen_Spellthread_3,588211,0.84%,
3T,Weapon_Sophic_Writ_3,588198,0.84%,
3T,Weapon_Sophic_Writ_2,588138,0.83%,
3T,Weapon_Shadowflame_Wreathe_3,588088,0.82%,
3T,Weapon_Shadowflame_Wreathe_2,587748,0.76%,
3T,Weapon_Shadowflame_Wreathe_1,587731,0.76%,
3T,Legs_Temporal_Spellthread_2,587632,0.74%,
3T,Legs_Lambent_Armor_Kit_2,587582,0.74%,
3T,Legs_Frozen_Spellthread_2,587496,0.72%,
3T,Chest_Waking_Stats_3,587424,0.71%,
3T,Weapon_Sophic_Writ_1,587397,0.70%,
3T,Legs_Lambent_Armor_Kit_1,586906,0.62%,
3T,Legs_Temporal_Spellthread_1,586818,0.60%,
3T,Chest_Waking_Stats_2,586778,0.60%,
3T,Legs_Frozen_Spellthread_1,586712,0.59%,
3T,Chest_Reserve_of_Intellect_3,586482,0.55%,
3T,Legs_Vibrant_Spellthread_3,586396,0.53%,
3T,Chest_Waking_Stats_1,586378,0.53%,
3T,Ring_Devotion_of_Haste_3,586120,0.48%,
3T,Ring_Devotion_of_Haste_2,585935,0.45%,
3T,Legs_Vibrant_Spellthread_2,585798,0.43%,
3T,Chest_Reserve_of_Intellect_2,585657,0.41%,
3T,Ring_Devotion_of_Haste_1,585495,0.38%,
3T,Ring_Writ_of_Haste_3,585419,0.36%,
3T,Chest_Reserve_of_Intellect_1,585390,0.36%,
3T,Legs_Vibrant_Spellthread_1,585384,0.36%,
3T,Ring_Devotion_of_Critical_Strike_2,585344,0.35%,
3T,Ring_Devotion_of_Mastery_3,585342,0.35%,
3T,Ring_Devotion_of_Versatility_3,585302,0.34%,
3T,Ring_Devotion_of_Critical_Strike_3,585301,0.34%,
3T,Ring_Devotion_of_Mastery_2,585158,0.32%,
3T,Ring_Devotion_of_Versatility_2,585097,0.31%,
3T,Ring_Writ_of_Haste_2,585050,0.30%,
3T,Ring_Devotion_of_Critical_Strike_1,585001,0.29%,
3T,Ring_Devotion_of_Mastery_1,584956,0.28%,
3T,Ring_Writ_of_Critical_Strike_3,584818,0.26%,
3T,Ring_Writ_of_Haste_1,584813,0.26%,
3T,Ring_Devotion_of_Versatility_1,584781,0.25%,
3T,Ring_Writ_of_Critical_Strike_2,584655,0.23%,
3T,Ring_Writ_of_Mastery_3,584651,0.23%,
3T,Ring_Writ_of_Versatility_3,584539,0.21%,
3T,Ring_Writ_of_Versatility_2,584535,0.21%,
3T,Ring_Writ_of_Mastery_2,584392,0.19%,
3T,Ring_Writ_of_Critical_Strike_1,584252,0.16%,
3T,Ring_Writ_of_Mastery_1,584236,0.16%,
3T,Ring_Writ_of_Versatility_1,584220,0.16%,
3T,Base,583294,0.00%,
