profile,actor,DPS,increase,
4T,Weapon_Sophic_Devotion_3,190546,2.32%,
4T,Weapon_Sophic_Devotion_2,190146,2.11%,
4T,Weapon_Sophic_Devotion_1,189794,1.92%,
4T,Legs_Frozen_Spellthread_3,189749,1.90%,
4T,Legs_Temporal_Spellthread_3,189746,1.89%,
4T,Weapon_Sophic_Writ_3,189650,1.84%,
4T,Weapon_Sophic_Writ_2,189409,1.71%,
4T,Weapon_Wafting_Devotion_3,189388,1.70%,
4T,Legs_Temporal_Spellthread_2,189324,1.67%,
4T,Weapon_Earthen_Writ_3,189218,1.61%,
4T,Chest_Waking_Stats_3,189216,1.61%,
4T,Legs_Frozen_Spellthread_2,189192,1.60%,
4T,Weapon_Wafting_Devotion_2,189100,1.55%,
4T,Weapon_Sophic_Writ_1,189057,1.52%,
4T,Weapon_Earthen_Writ_2,189051,1.52%,
4T,Temp_Weapon_Howling_Rune_3,188959,1.47%,
4T,Weapon_Wafting_Devotion_1,188950,1.47%,
4T,Weapon_Wafting_Writ_3,188910,1.45%,
4T,Weapon_Frozen_Writ_3,188894,1.44%,
4T,Weapon_Burning_Writ_3,188848,1.41%,
4T,Chest_Waking_Stats_2,188797,1.39%,
4T,Temp_Weapon_Buzzing_Rune_3,188794,1.38%,
4T,Legs_Frozen_Spellthread_1,188770,1.37%,
4T,Weapon_Frozen_Writ_2,188759,1.36%,
4T,Weapon_Wafting_Writ_2,188726,1.35%,
4T,Legs_Temporal_Spellthread_1,188701,1.33%,
4T,Weapon_Earthen_Writ_1,188688,1.33%,
4T,Weapon_Burning_Writ_2,188672,1.32%,
4T,Temp_Weapon_Howling_Rune_2,188586,1.27%,
4T,Weapon_Burning_Writ_1,188575,1.27%,
4T,Weapon_Wafting_Writ_1,188567,1.26%,
4T,Weapon_Frozen_Writ_1,188518,1.23%,
4T,Temp_Weapon_Buzzing_Rune_2,188514,1.23%,
4T,Chest_Reserve_of_Intellect_3,188439,1.19%,
4T,Legs_Vibrant_Spellthread_3,188348,1.14%,
4T,Chest_Waking_Stats_1,188330,1.13%,
4T,Temp_Weapon_Howling_Rune_1,188279,1.11%,
4T,Temp_Weapon_Buzzing_Rune_1,188080,1.00%,
4T,Chest_Reserve_of_Intellect_2,188042,0.98%,
4T,Legs_Vibrant_Spellthread_2,187971,0.94%,
4T,Legs_Vibrant_Spellthread_1,187772,0.83%,
4T,Chest_Reserve_of_Intellect_1,187751,0.82%,
4T,Base,186218,0.00%,
4T,Ring_Devotion_of_Mastery_3,186045,-0.09%,
4T,Ring_Devotion_of_Critical_Strike_3,185994,-0.12%,
4T,Ring_Devotion_of_Haste_3,185985,-0.13%,
4T,Ring_Devotion_of_Haste_2,185952,-0.14%,
4T,Ring_Devotion_of_Versatility_3,185928,-0.16%,
4T,Ring_Devotion_of_Versatility_2,185921,-0.16%,
4T,Ring_Devotion_of_Mastery_2,185915,-0.16%,
4T,Ring_Devotion_of_Critical_Strike_2,185835,-0.21%,
4T,Ring_Devotion_of_Mastery_1,185820,-0.21%,
4T,Ring_Devotion_of_Critical_Strike_1,185798,-0.23%,
4T,Ring_Devotion_of_Haste_1,185783,-0.23%,
4T,Ring_Devotion_of_Versatility_1,185765,-0.24%,
4T,Ring_Writ_of_Versatility_3,185737,-0.26%,
4T,Ring_Writ_of_Mastery_3,185736,-0.26%,
4T,Ring_Writ_of_Critical_Strike_2,185714,-0.27%,
4T,Ring_Writ_of_Haste_3,185705,-0.28%,
4T,Ring_Writ_of_Critical_Strike_3,185657,-0.30%,
4T,Ring_Writ_of_Versatility_2,185647,-0.31%,
4T,Ring_Writ_of_Haste_1,185644,-0.31%,
4T,Ring_Writ_of_Haste_2,185634,-0.31%,
4T,Ring_Writ_of_Mastery_2,185628,-0.32%,
4T,Ring_Writ_of_Versatility_1,185574,-0.35%,
4T,Ring_Writ_of_Critical_Strike_1,185567,-0.35%,
4T,Ring_Writ_of_Mastery_1,185564,-0.35%,
