profile,actor,DPS,increase,
Dungeons-Standard,Head_Incandescent_Essence_1,224681,1.53%,
Dungeons-Standard,Weapon_Frozen_Writ_3,224135,1.28%,
Dungeons-Standard,Weapon_Wafting_Devotion_3,224134,1.28%,
Dungeons-Standard,Weapon_Burning_Writ_3,224081,1.26%,
Dungeons-Standard,Weapon_Frozen_Writ_2,223939,1.20%,
Dungeons-Standard,Weapon_Wafting_Devotion_2,223921,1.19%,
Dungeons-Standard,Temp_Weapon_Buzzing_Rune_3,223896,1.18%,
Dungeons-Standard,Weapon_Sophic_Devotion_3,223895,1.18%,
Dungeons-Standard,Weapon_Burning_Writ_2,223888,1.17%,
Dungeons-Standard,Weapon_Earthen_Writ_3,223757,1.11%,
Dungeons-Standard,Weapon_Wafting_Devotion_1,223709,1.09%,
Dungeons-Standard,Weapon_Frozen_Writ_1,223707,1.09%,
Dungeons-Standard,Weapon_Sophic_Devotion_2,223688,1.08%,
Dungeons-Standard,Weapon_Burning_Writ_1,223673,1.08%,
Dungeons-Standard,Weapon_Wafting_Writ_3,223590,1.04%,
Dungeons-Standard,Weapon_Earthen_Writ_2,223587,1.04%,
Dungeons-Standard,Temp_Weapon_Hissing_Rune_3,223579,1.03%,
Dungeons-Standard,Weapon_Sophic_Devotion_1,223485,0.99%,
Dungeons-Standard,Temp_Weapon_Buzzing_Rune_2,223485,0.99%,
Dungeons-Standard,Legs_Lambent_Armor_Kit_3,223445,0.97%,
Dungeons-Standard,Weapon_Earthen_Writ_1,223419,0.96%,
Dungeons-Standard,Weapon_Wafting_Writ_2,223401,0.95%,
Dungeons-Standard,Weapon_Sophic_Writ_3,223391,0.95%,
Dungeons-Standard,Legs_Temporal_Spellthread_3,223338,0.92%,
Dungeons-Standard,Legs_Frozen_Spellthread_3,223331,0.92%,
Dungeons-Standard,Temp_Weapon_Howling_Rune_2,223328,0.92%,
Dungeons-Standard,Weapon_Sophic_Writ_2,223242,0.88%,
Dungeons-Standard,Weapon_Wafting_Writ_1,223236,0.88%,
Dungeons-Standard,Temp_Weapon_Hissing_Rune_2,223223,0.87%,
Dungeons-Standard,Temp_Weapon_Howling_Rune_3,223140,0.83%,
Dungeons-Standard,Temp_Weapon_Buzzing_Rune_1,223079,0.81%,
Dungeons-Standard,Legs_Lambent_Armor_Kit_2,223078,0.81%,
Dungeons-Standard,Weapon_Sophic_Writ_1,223072,0.80%,
Dungeons-Standard,Legs_Frozen_Spellthread_2,223065,0.80%,
Dungeons-Standard,Legs_Temporal_Spellthread_2,223032,0.79%,
Dungeons-Standard,Chest_Waking_Stats_3,223027,0.78%,
Dungeons-Standard,Temp_Weapon_Howling_Rune_1,222977,0.76%,
Dungeons-Standard,Temp_Weapon_Hissing_Rune_1,222896,0.72%,
Dungeons-Standard,Legs_Lambent_Armor_Kit_1,222799,0.68%,
Dungeons-Standard,Chest_Waking_Stats_2,222760,0.66%,
Dungeons-Standard,Legs_Temporal_Spellthread_1,222726,0.65%,
