profile,actor,DPS,increase,
Dungeons,Weapon_Sophic_Devotion_3,89059,1.66%,
Dungeons,Weapon_Sophic_Devotion_2,88952,1.54%,
Dungeons,Weapon_Sophic_Devotion_1,88836,1.40%,
Dungeons,Weapon_Wafting_Devotion_3,88809,1.37%,
Dungeons,Legs_Frozen_Spellthread_3,88797,1.36%,
Dungeons,Legs_Temporal_Spellthread_3,88792,1.35%,
Dungeons,Weapon_Sophic_Writ_3,88775,1.33%,
Dungeons,Weapon_Wafting_Devotion_2,88733,1.28%,
Dungeons,Weapon_Sophic_Writ_2,88684,1.23%,
Dungeons,Temp_Weapon_Howling_Rune_3,88679,1.22%,
Dungeons,Weapon_Earthen_Writ_3,88658,1.20%,
Dungeons,Weapon_Wafting_Devotion_1,88647,1.19%,
Dungeons,Legs_Frozen_Spellthread_2,88624,1.16%,
Dungeons,Legs_Temporal_Spellthread_2,88617,1.15%,
Dungeons,Chest_Waking_Stats_3,88614,1.15%,
Dungeons,Weapon_Wafting_Writ_3,88611,1.15%,
Dungeons,Weapon_Sophic_Writ_1,88595,1.13%,
Dungeons,Weapon_Frozen_Writ_3,88587,1.12%,
Dungeons,Weapon_Earthen_Writ_2,88576,1.11%,
Dungeons,Weapon_Burning_Writ_3,88553,1.08%,
Dungeons,Weapon_Wafting_Writ_2,88529,1.05%,
Dungeons,Temp_Weapon_Howling_Rune_2,88527,1.05%,
Dungeons,Weapon_Frozen_Writ_2,88514,1.03%,
Dungeons,Weapon_Earthen_Writ_1,88506,1.03%,
Dungeons,Temp_Weapon_Buzzing_Rune_3,88496,1.01%,
Dungeons,Weapon_Burning_Writ_2,88484,1.00%,
Dungeons,Weapon_Wafting_Writ_1,88469,0.98%,
Dungeons,Chest_Waking_Stats_2,88467,0.98%,
Dungeons,Legs_Frozen_Spellthread_1,88445,0.96%,
Dungeons,Legs_Temporal_Spellthread_1,88438,0.95%,
Dungeons,Weapon_Frozen_Writ_1,88436,0.95%,
Dungeons,Weapon_Burning_Writ_1,88418,0.92%,
Dungeons,Temp_Weapon_Buzzing_Rune_2,88376,0.88%,
Dungeons,Chest_Reserve_of_Intellect_3,88347,0.84%,
Dungeons,Legs_Vibrant_Spellthread_3,88310,0.80%,
Dungeons,Temp_Weapon_Howling_Rune_1,88304,0.80%,
Dungeons,Chest_Waking_Stats_1,88300,0.79%,
Dungeons,Temp_Weapon_Buzzing_Rune_1,88244,0.73%,
Dungeons,Chest_Reserve_of_Intellect_2,88243,0.73%,
Dungeons,Legs_Vibrant_Spellthread_2,88221,0.70%,
Dungeons,Chest_Reserve_of_Intellect_1,88116,0.58%,
Dungeons,Legs_Vibrant_Spellthread_1,88102,0.56%,
Dungeons,Base,87608,0.00%,
Dungeons,Ring_Devotion_of_Haste_3,87522,-0.10%,
Dungeons,Ring_Devotion_of_Mastery_3,87514,-0.11%,
Dungeons,Ring_Devotion_of_Haste_2,87508,-0.11%,
Dungeons,Ring_Devotion_of_Critical_Strike_3,87489,-0.14%,
Dungeons,Ring_Devotion_of_Versatility_3,87486,-0.14%,
Dungeons,Ring_Devotion_of_Mastery_2,87484,-0.14%,
Dungeons,Ring_Devotion_of_Haste_1,87482,-0.14%,
Dungeons,Ring_Devotion_of_Versatility_2,87471,-0.16%,
Dungeons,Ring_Devotion_of_Critical_Strike_2,87457,-0.17%,
Dungeons,Ring_Writ_of_Haste_3,87455,-0.17%,
Dungeons,Ring_Devotion_of_Versatility_1,87440,-0.19%,
Dungeons,Ring_Devotion_of_Mastery_1,87437,-0.19%,
Dungeons,Ring_Devotion_of_Critical_Strike_1,87427,-0.21%,
Dungeons,Ring_Writ_of_Mastery_3,87425,-0.21%,
Dungeons,Ring_Writ_of_Haste_2,87420,-0.21%,
Dungeons,Ring_Writ_of_Versatility_3,87408,-0.23%,
Dungeons,Ring_Writ_of_Critical_Strike_3,87404,-0.23%,
Dungeons,Ring_Writ_of_Mastery_2,87388,-0.25%,
Dungeons,Ring_Writ_of_Versatility_2,87379,-0.26%,
Dungeons,Ring_Writ_of_Critical_Strike_2,87369,-0.27%,
Dungeons,Ring_Writ_of_Haste_1,87369,-0.27%,
Dungeons,Ring_Writ_of_Mastery_1,87363,-0.28%,
Dungeons,Ring_Writ_of_Versatility_1,87358,-0.29%,
Dungeons,Ring_Writ_of_Critical_Strike_1,87342,-0.30%,
