profile,actor,DPS,increase,
Single,Head_Incandescent_Essence_1,215578,1.73%,
Single,Weapon_Wafting_Devotion_3,215173,1.54%,
Single,Weapon_Frozen_Writ_3,215151,1.53%,
Single,Weapon_Burning_Writ_3,215016,1.46%,
Single,Weapon_Sophic_Devotion_3,214947,1.43%,
Single,Weapon_Wafting_Devotion_2,214935,1.42%,
Single,Weapon_Frozen_Writ_2,214861,1.39%,
Single,Weapon_Burning_Writ_2,214784,1.35%,
Single,Weapon_Earthen_Writ_3,214783,1.35%,
Single,Temp_Weapon_Buzzing_Rune_3,214773,1.35%,
Single,Weapon_Sophic_Devotion_2,214765,1.34%,
Single,Weapon_Frozen_Writ_1,214731,1.33%,
Single,Weapon_Wafting_Devotion_1,214719,1.32%,
Single,Temp_Weapon_Hissing_Rune_3,214645,1.29%,
Single,Weapon_Earthen_Writ_2,214623,1.28%,
Single,Weapon_Burning_Writ_1,214611,1.27%,
Single,Weapon_Wafting_Writ_3,214599,1.27%,
Single,Temp_Weapon_Howling_Rune_3,214586,1.26%,
Single,Weapon_Sophic_Devotion_1,214494,1.22%,
Single,Legs_Frozen_Spellthread_3,214424,1.18%,
Single,Temp_Weapon_Buzzing_Rune_2,214419,1.18%,
Single,Legs_Temporal_Spellthread_3,214416,1.18%,
Single,Legs_Lambent_Armor_Kit_3,214398,1.17%,
Single,Weapon_Earthen_Writ_1,214369,1.16%,
Single,Weapon_Wafting_Writ_2,214359,1.15%,
Single,Weapon_Sophic_Writ_3,214332,1.14%,
Single,Temp_Weapon_Howling_Rune_2,214328,1.14%,
Single,Weapon_Wafting_Writ_1,214199,1.08%,
Single,Legs_Lambent_Armor_Kit_2,214159,1.06%,
Single,Weapon_Sophic_Writ_2,214151,1.05%,
Single,Temp_Weapon_Hissing_Rune_2,214140,1.05%,
Single,Temp_Weapon_Howling_Rune_1,214079,1.02%,
Single,Temp_Weapon_Buzzing_Rune_1,214048,1.01%,
Single,Legs_Temporal_Spellthread_2,213982,0.97%,
Single,Legs_Frozen_Spellthread_2,213978,0.97%,
Single,Weapon_Sophic_Writ_1,213957,0.96%,
Single,Chest_Waking_Stats_3,213947,0.96%,
Single,Temp_Weapon_Hissing_Rune_1,213799,0.89%,
Single,Chest_Waking_Stats_2,213674,0.83%,
Single,Legs_Lambent_Armor_Kit_1,213672,0.83%,
Single,Legs_Temporal_Spellthread_1,213604,0.80%,
Single,Legs_Frozen_Spellthread_1,213594,0.79%,
Single,Weapon_Shadowflame_Wreathe_3,213476,0.74%,
Single,Chest_Reserve_of_Intellect_3,213475,0.74%,
Single,Legs_Vibrant_Spellthread_3,213393,0.70%,
Single,Chest_Waking_Stats_1,213281,0.64%,
Single,Chest_Reserve_of_Intellect_2,213237,0.62%,
Single,Weapon_Shadowflame_Wreathe_2,213223,0.62%,
Single,Legs_Vibrant_Spellthread_2,213160,0.59%,
Single,Weapon_Shadowflame_Wreathe_1,213107,0.56%,
Single,Chest_Reserve_of_Intellect_1,213032,0.53%,
Single,Legs_Vibrant_Spellthread_1,212994,0.51%,
Single,Ring_Devotion_of_Versatility_3,212763,0.40%,
Single,Ring_Devotion_of_Critical_Strike_3,212692,0.37%,
Single,Ring_Devotion_of_Critical_Strike_2,212658,0.35%,
Single,Ring_Devotion_of_Versatility_2,212620,0.33%,
Single,Ring_Devotion_of_Mastery_3,212614,0.33%,
Single,Ring_Devotion_of_Mastery_1,212584,0.31%,
Single,Ring_Devotion_of_Critical_Strike_1,212580,0.31%,
Single,Ring_Devotion_of_Versatility_1,212559,0.30%,
Single,Ring_Writ_of_Versatility_3,212524,0.29%,
Single,Ring_Devotion_of_Haste_3,212519,0.28%,
Single,Ring_Writ_of_Mastery_3,212503,0.28%,
Single,Ring_Devotion_of_Mastery_2,212492,0.27%,
Single,Ring_Writ_of_Critical_Strike_3,212467,0.26%,
Single,Ring_Devotion_of_Haste_2,212461,0.26%,
Single,Ring_Devotion_of_Haste_1,212348,0.20%,
Single,Ring_Writ_of_Versatility_2,212337,0.20%,
Single,Ring_Writ_of_Haste_3,212316,0.19%,
Single,Ring_Writ_of_Mastery_2,212307,0.18%,
Single,Ring_Writ_of_Critical_Strike_2,212289,0.18%,
Single,Ring_Writ_of_Haste_2,212261,0.16%,
Single,Ring_Writ_of_Critical_Strike_1,212236,0.15%,
Single,Ring_Writ_of_Versatility_1,212232,0.15%,
Single,Ring_Writ_of_Mastery_1,212231,0.15%,
Single,Ring_Writ_of_Haste_1,212130,0.10%,
Single,Base,211918,0.00%,
