profile,actor,DPS,increase,
algethar-fort,Weapon_Wafting_Devotion_3,146313,0.96%,
algethar-fort,Weapon_Wafting_Devotion_2,146181,0.87%,
algethar-fort,Weapon_Sophic_Devotion_3,146115,0.82%,
algethar-fort,Weapon_Wafting_Devotion_1,146100,0.81%,
algethar-fort,Weapon_Wafting_Writ_3,146098,0.81%,
algethar-fort,Weapon_Sophic_Devotion_2,146064,0.79%,
algethar-fort,Temp_Weapon_Howling_Rune_3,145986,0.74%,
algethar-fort,Weapon_Wafting_Writ_2,145978,0.73%,
algethar-fort,Weapon_Burning_Writ_3,145971,0.73%,
algethar-fort,Weapon_Sophic_Writ_3,145905,0.68%,
algethar-fort,Weapon_Earthen_Writ_3,145904,0.68%,
algethar-fort,Temp_Weapon_Buzzing_Rune_3,145899,0.68%,
algethar-fort,Legs_Lambent_Armor_Kit_3,145897,0.67%,
algethar-fort,Weapon_Wafting_Writ_1,145896,0.67%,
algethar-fort,Temp_Weapon_Hissing_Rune_3,145892,0.67%,
algethar-fort,Weapon_Sophic_Devotion_1,145888,0.67%,
algethar-fort,Legs_Temporal_Spellthread_3,145871,0.66%,
algethar-fort,Legs_Frozen_Spellthread_3,145844,0.64%,
algethar-fort,Weapon_Burning_Writ_2,145837,0.63%,
algethar-fort,Weapon_Burning_Writ_1,145834,0.63%,
algethar-fort,Weapon_Frozen_Writ_3,145814,0.62%,
algethar-fort,Weapon_Sophic_Writ_1,145796,0.60%,
algethar-fort,Temp_Weapon_Howling_Rune_2,145792,0.60%,
algethar-fort,Weapon_Sophic_Writ_2,145780,0.59%,
algethar-fort,Weapon_Earthen_Writ_2,145767,0.58%,
algethar-fort,Weapon_Frozen_Writ_2,145757,0.58%,
algethar-fort,Temp_Weapon_Hissing_Rune_2,145748,0.57%,
algethar-fort,Legs_Temporal_Spellthread_2,145747,0.57%,
algethar-fort,Legs_Frozen_Spellthread_2,145705,0.54%,
algethar-fort,Legs_Lambent_Armor_Kit_2,145697,0.54%,
algethar-fort,Temp_Weapon_Buzzing_Rune_2,145682,0.53%,
algethar-fort,Weapon_Earthen_Writ_1,145679,0.52%,
algethar-fort,Temp_Weapon_Howling_Rune_1,145671,0.52%,
algethar-fort,Chest_Waking_Stats_3,145667,0.52%,
algethar-fort,Weapon_Frozen_Writ_1,145664,0.51%,
algethar-fort,Temp_Weapon_Buzzing_Rune_1,145583,0.46%,
algethar-fort,Legs_Frozen_Spellthread_1,145572,0.45%,
algethar-fort,Legs_Lambent_Armor_Kit_1,145567,0.45%,
algethar-fort,Chest_Reserve_of_Intellect_3,145553,0.44%,
algethar-fort,Chest_Waking_Stats_2,145535,0.42%,
algethar-fort,Temp_Weapon_Hissing_Rune_1,145535,0.42%,
algethar-fort,Legs_Temporal_Spellthread_1,145529,0.42%,
algethar-fort,Chest_Waking_Stats_1,145491,0.39%,
algethar-fort,Chest_Reserve_of_Intellect_2,145436,0.36%,
algethar-fort,Legs_Vibrant_Spellthread_3,145403,0.33%,
algethar-fort,Legs_Vibrant_Spellthread_2,145376,0.31%,
algethar-fort,Legs_Vibrant_Spellthread_1,145332,0.28%,
algethar-fort,Chest_Reserve_of_Intellect_1,145324,0.28%,
algethar-fort,Base,144920,0.00%,
algethar-fort,Ring_Devotion_of_Haste_3,144867,-0.04%,
algethar-fort,Ring_Devotion_of_Critical_Strike_3,144819,-0.07%,
algethar-fort,Ring_Devotion_of_Versatility_3,144781,-0.10%,
algethar-fort,Ring_Devotion_of_Versatility_2,144773,-0.10%,
algethar-fort,Ring_Devotion_of_Haste_2,144761,-0.11%,
algethar-fort,Ring_Devotion_of_Haste_1,144751,-0.12%,
algethar-fort,Ring_Devotion_of_Mastery_3,144750,-0.12%,
algethar-fort,Ring_Devotion_of_Critical_Strike_1,144738,-0.13%,
algethar-fort,Ring_Devotion_of_Mastery_1,144736,-0.13%,
algethar-fort,Ring_Devotion_of_Mastery_2,144728,-0.13%,
algethar-fort,Ring_Devotion_of_Critical_Strike_2,144724,-0.14%,
algethar-fort,Ring_Writ_of_Versatility_3,144720,-0.14%,
algethar-fort,Ring_Writ_of_Haste_2,144717,-0.14%,
algethar-fort,Ring_Writ_of_Critical_Strike_3,144713,-0.14%,
algethar-fort,Ring_Writ_of_Versatility_2,144710,-0.14%,
algethar-fort,Ring_Writ_of_Mastery_3,144700,-0.15%,
algethar-fort,Ring_Writ_of_Haste_3,144699,-0.15%,
algethar-fort,Ring_Devotion_of_Versatility_1,144693,-0.16%,
algethar-fort,Ring_Writ_of_Versatility_1,144684,-0.16%,
algethar-fort,Ring_Writ_of_Critical_Strike_1,144660,-0.18%,
algethar-fort,Ring_Writ_of_Critical_Strike_2,144657,-0.18%,
algethar-fort,Ring_Writ_of_Mastery_2,144657,-0.18%,
algethar-fort,Ring_Writ_of_Haste_1,144616,-0.21%,
algethar-fort,Ring_Writ_of_Mastery_1,144613,-0.21%,
