profile,actor,DPS,increase,
azure-fort,Weapon_Sophic_Devotion_3,117488,1.54%,
azure-fort,Weapon_Sophic_Devotion_2,117380,1.44%,
azure-fort,Weapon_Wafting_Devotion_3,117206,1.29%,
azure-fort,Weapon_Sophic_Devotion_1,117181,1.27%,
azure-fort,Legs_Frozen_Spellthread_3,117175,1.27%,
azure-fort,Weapon_Sophic_Writ_3,117169,1.26%,
azure-fort,Legs_Temporal_Spellthread_3,117134,1.23%,
azure-fort,Legs_Lambent_Armor_Kit_3,117131,1.23%,
azure-fort,Weapon_Wafting_Devotion_2,117078,1.18%,
azure-fort,Temp_Weapon_Hissing_Rune_3,117029,1.14%,
azure-fort,Weapon_Sophic_Writ_2,117004,1.12%,
azure-fort,Weapon_Burning_Writ_3,116997,1.11%,
azure-fort,Weapon_Wafting_Devotion_1,116993,1.11%,
azure-fort,Weapon_Frozen_Writ_3,116981,1.10%,
azure-fort,Weapon_Earthen_Writ_3,116979,1.10%,
azure-fort,Legs_Temporal_Spellthread_2,116940,1.06%,
azure-fort,Weapon_Burning_Writ_2,116933,1.06%,
azure-fort,Weapon_Earthen_Writ_2,116924,1.05%,
azure-fort,Temp_Weapon_Buzzing_Rune_3,116923,1.05%,
azure-fort,Temp_Weapon_Howling_Rune_3,116918,1.04%,
azure-fort,Weapon_Frozen_Writ_2,116913,1.04%,
azure-fort,Chest_Waking_Stats_3,116891,1.02%,
azure-fort,Legs_Lambent_Armor_Kit_2,116890,1.02%,
azure-fort,Weapon_Wafting_Writ_3,116889,1.02%,
azure-fort,Legs_Frozen_Spellthread_2,116870,1.00%,
azure-fort,Weapon_Sophic_Writ_1,116870,1.00%,
azure-fort,Weapon_Burning_Writ_1,116867,1.00%,
azure-fort,Weapon_Wafting_Writ_2,116816,0.96%,
azure-fort,Weapon_Frozen_Writ_1,116785,0.93%,
azure-fort,Temp_Weapon_Hissing_Rune_2,116782,0.93%,
azure-fort,Temp_Weapon_Howling_Rune_2,116780,0.92%,
azure-fort,Chest_Waking_Stats_2,116755,0.90%,
azure-fort,Weapon_Earthen_Writ_1,116751,0.90%,
azure-fort,Temp_Weapon_Buzzing_Rune_2,116737,0.89%,
azure-fort,Weapon_Wafting_Writ_1,116721,0.87%,
azure-fort,Legs_Temporal_Spellthread_1,116688,0.85%,
azure-fort,Legs_Frozen_Spellthread_1,116673,0.83%,
azure-fort,Legs_Lambent_Armor_Kit_1,116642,0.81%,
azure-fort,Temp_Weapon_Buzzing_Rune_1,116614,0.78%,
azure-fort,Temp_Weapon_Hissing_Rune_1,116581,0.75%,
azure-fort,Legs_Vibrant_Spellthread_3,116579,0.75%,
azure-fort,Chest_Reserve_of_Intellect_3,116577,0.75%,
azure-fort,Chest_Waking_Stats_1,116543,0.72%,
azure-fort,Temp_Weapon_Howling_Rune_1,116510,0.69%,
azure-fort,Chest_Reserve_of_Intellect_2,116465,0.65%,
azure-fort,Legs_Vibrant_Spellthread_2,116425,0.62%,
azure-fort,Chest_Reserve_of_Intellect_1,116288,0.50%,
azure-fort,Legs_Vibrant_Spellthread_1,116257,0.47%,
azure-fort,Base,115710,0.00%,
azure-fort,Ring_Devotion_of_Haste_2,115568,-0.12%,
azure-fort,Ring_Devotion_of_Haste_3,115547,-0.14%,
azure-fort,Ring_Devotion_of_Haste_1,115480,-0.20%,
azure-fort,Ring_Writ_of_Haste_3,115473,-0.20%,
azure-fort,Ring_Devotion_of_Mastery_3,115202,-0.44%,
azure-fort,Ring_Devotion_of_Critical_Strike_2,115199,-0.44%,
azure-fort,Ring_Devotion_of_Versatility_3,115186,-0.45%,
azure-fort,Ring_Devotion_of_Versatility_2,115172,-0.46%,
azure-fort,Ring_Devotion_of_Critical_Strike_3,115156,-0.48%,
azure-fort,Ring_Devotion_of_Mastery_2,115146,-0.49%,
azure-fort,Ring_Devotion_of_Mastery_1,115119,-0.51%,
azure-fort,Ring_Devotion_of_Critical_Strike_1,115102,-0.53%,
azure-fort,Ring_Writ_of_Haste_2,115088,-0.54%,
azure-fort,Ring_Writ_of_Critical_Strike_3,115082,-0.54%,
azure-fort,Ring_Writ_of_Versatility_3,115055,-0.57%,
azure-fort,Ring_Devotion_of_Versatility_1,115034,-0.58%,
azure-fort,Ring_Writ_of_Critical_Strike_2,115032,-0.59%,
azure-fort,Ring_Writ_of_Mastery_3,115031,-0.59%,
azure-fort,Ring_Writ_of_Mastery_2,115017,-0.60%,
azure-fort,Ring_Writ_of_Mastery_1,115009,-0.61%,
azure-fort,Ring_Writ_of_Versatility_1,115006,-0.61%,
azure-fort,Ring_Writ_of_Versatility_2,115000,-0.61%,
azure-fort,Ring_Writ_of_Critical_Strike_1,114995,-0.62%,
azure-fort,Ring_Writ_of_Haste_1,114937,-0.67%,
