profile,actor,DPS,increase,
azure-fort,Weapon_Wafting_Devotion_3,120943,1.61%,
azure-fort,Weapon_Wafting_Devotion_2,120825,1.51%,
azure-fort,Weapon_Sophic_Devotion_3,120823,1.50%,
azure-fort,Weapon_Sophic_Devotion_2,120723,1.42%,
azure-fort,Weapon_Wafting_Devotion_1,120713,1.41%,
azure-fort,Weapon_Wafting_Writ_3,120640,1.35%,
azure-fort,Legs_Temporal_Spellthread_3,120602,1.32%,
azure-fort,Weapon_Sophic_Devotion_1,120595,1.31%,
azure-fort,Weapon_Wafting_Writ_2,120571,1.29%,
azure-fort,Legs_Frozen_Spellthread_3,120517,1.25%,
azure-fort,Weapon_Burning_Writ_3,120517,1.25%,
azure-fort,Weapon_Sophic_Writ_3,120509,1.24%,
azure-fort,Temp_Weapon_Buzzing_Rune_3,120499,1.23%,
azure-fort,Legs_Lambent_Armor_Kit_3,120479,1.22%,
azure-fort,Weapon_Wafting_Writ_1,120463,1.20%,
azure-fort,Weapon_Earthen_Writ_3,120455,1.20%,
azure-fort,Weapon_Burning_Writ_2,120443,1.19%,
azure-fort,Temp_Weapon_Hissing_Rune_3,120441,1.18%,
azure-fort,Temp_Weapon_Howling_Rune_3,120413,1.16%,
azure-fort,Weapon_Sophic_Writ_2,120389,1.14%,
azure-fort,Weapon_Frozen_Writ_3,120385,1.14%,
azure-fort,Weapon_Burning_Writ_1,120367,1.12%,
azure-fort,Weapon_Sophic_Writ_1,120366,1.12%,
azure-fort,Chest_Waking_Stats_3,120344,1.10%,
azure-fort,Legs_Frozen_Spellthread_2,120342,1.10%,
azure-fort,Legs_Temporal_Spellthread_2,120333,1.09%,
azure-fort,Weapon_Earthen_Writ_2,120331,1.09%,
azure-fort,Weapon_Frozen_Writ_2,120320,1.08%,
azure-fort,Temp_Weapon_Buzzing_Rune_2,120317,1.08%,
azure-fort,Temp_Weapon_Howling_Rune_2,120307,1.07%,
azure-fort,Temp_Weapon_Hissing_Rune_2,120288,1.06%,
azure-fort,Weapon_Earthen_Writ_1,120276,1.05%,
azure-fort,Legs_Lambent_Armor_Kit_2,120265,1.04%,
azure-fort,Weapon_Frozen_Writ_1,120206,0.99%,
azure-fort,Chest_Waking_Stats_2,120188,0.97%,
azure-fort,Legs_Frozen_Spellthread_1,120169,0.96%,
azure-fort,Legs_Lambent_Armor_Kit_1,120113,0.91%,
azure-fort,Temp_Weapon_Hissing_Rune_1,120101,0.90%,
azure-fort,Weapon_Shadowflame_Wreathe_3,120100,0.90%,
azure-fort,Temp_Weapon_Howling_Rune_1,120093,0.89%,
azure-fort,Legs_Temporal_Spellthread_1,120087,0.89%,
azure-fort,Weapon_Shadowflame_Wreathe_2,120070,0.87%,
azure-fort,Temp_Weapon_Buzzing_Rune_1,120066,0.87%,
azure-fort,Chest_Reserve_of_Intellect_3,120040,0.85%,
azure-fort,Chest_Waking_Stats_1,120012,0.82%,
azure-fort,Legs_Vibrant_Spellthread_3,119974,0.79%,
azure-fort,Chest_Reserve_of_Intellect_2,119967,0.79%,
azure-fort,Weapon_Shadowflame_Wreathe_1,119899,0.73%,
azure-fort,Legs_Vibrant_Spellthread_2,119853,0.69%,
azure-fort,Chest_Reserve_of_Intellect_1,119788,0.64%,
azure-fort,Legs_Vibrant_Spellthread_1,119719,0.58%,
azure-fort,Base,119032,0.00%,
azure-fort,Ring_Devotion_of_Haste_3,118933,-0.08%,
azure-fort,Ring_Devotion_of_Mastery_3,118927,-0.09%,
azure-fort,Ring_Devotion_of_Haste_2,118924,-0.09%,
azure-fort,Ring_Devotion_of_Haste_1,118893,-0.12%,
azure-fort,Ring_Devotion_of_Versatility_3,118892,-0.12%,
azure-fort,Ring_Devotion_of_Critical_Strike_2,118878,-0.13%,
azure-fort,Ring_Devotion_of_Critical_Strike_3,118864,-0.14%,
azure-fort,Ring_Writ_of_Haste_3,118841,-0.16%,
azure-fort,Ring_Devotion_of_Mastery_2,118815,-0.18%,
azure-fort,Ring_Writ_of_Critical_Strike_3,118813,-0.18%,
azure-fort,Ring_Devotion_of_Versatility_2,118778,-0.21%,
azure-fort,Ring_Devotion_of_Critical_Strike_1,118777,-0.21%,
azure-fort,Ring_Writ_of_Mastery_3,118777,-0.21%,
azure-fort,Ring_Devotion_of_Mastery_1,118774,-0.22%,
azure-fort,Ring_Writ_of_Haste_2,118759,-0.23%,
azure-fort,Ring_Devotion_of_Versatility_1,118741,-0.24%,
azure-fort,Ring_Writ_of_Critical_Strike_2,118734,-0.25%,
azure-fort,Ring_Writ_of_Haste_1,118725,-0.26%,
azure-fort,Ring_Writ_of_Versatility_3,118712,-0.27%,
azure-fort,Ring_Writ_of_Mastery_2,118690,-0.29%,
azure-fort,Ring_Writ_of_Mastery_1,118662,-0.31%,
azure-fort,Ring_Writ_of_Critical_Strike_1,118659,-0.31%,
azure-fort,Ring_Writ_of_Versatility_1,118657,-0.32%,
azure-fort,Ring_Writ_of_Versatility_2,118657,-0.32%,
