profile,actor,DPS,increase,
hov-tyran,Weapon_Sophic_Devotion_3,87109,1.88%,
hov-tyran,Weapon_Sophic_Devotion_2,86950,1.69%,
hov-tyran,Weapon_Sophic_Devotion_1,86808,1.52%,
hov-tyran,Weapon_Wafting_Devotion_3,86776,1.49%,
hov-tyran,Legs_Frozen_Spellthread_3,86740,1.44%,
hov-tyran,Weapon_Sophic_Writ_3,86726,1.43%,
hov-tyran,Legs_Temporal_Spellthread_3,86708,1.41%,
hov-tyran,Weapon_Sophic_Writ_2,86655,1.34%,
hov-tyran,Weapon_Wafting_Devotion_2,86648,1.34%,
hov-tyran,Weapon_Wafting_Devotion_1,86595,1.27%,
hov-tyran,Weapon_Earthen_Writ_3,86586,1.26%,
hov-tyran,Temp_Weapon_Howling_Rune_3,86581,1.26%,
hov-tyran,Weapon_Earthen_Writ_2,86555,1.23%,
hov-tyran,Legs_Temporal_Spellthread_2,86548,1.22%,
hov-tyran,Weapon_Wafting_Writ_3,86533,1.20%,
hov-tyran,Weapon_Sophic_Writ_1,86531,1.20%,
hov-tyran,Legs_Frozen_Spellthread_2,86517,1.18%,
hov-tyran,Weapon_Frozen_Writ_3,86517,1.18%,
hov-tyran,Chest_Waking_Stats_3,86512,1.18%,
hov-tyran,Weapon_Wafting_Writ_2,86482,1.14%,
hov-tyran,Weapon_Burning_Writ_3,86462,1.12%,
hov-tyran,Weapon_Earthen_Writ_1,86431,1.08%,
hov-tyran,Weapon_Burning_Writ_2,86409,1.06%,
hov-tyran,Weapon_Frozen_Writ_2,86395,1.04%,
hov-tyran,Temp_Weapon_Buzzing_Rune_3,86392,1.04%,
hov-tyran,Temp_Weapon_Howling_Rune_2,86391,1.04%,
hov-tyran,Weapon_Wafting_Writ_1,86386,1.03%,
hov-tyran,Chest_Waking_Stats_2,86356,1.00%,
hov-tyran,Legs_Temporal_Spellthread_1,86330,0.96%,
hov-tyran,Weapon_Frozen_Writ_1,86309,0.94%,
hov-tyran,Weapon_Burning_Writ_1,86305,0.94%,
hov-tyran,Legs_Frozen_Spellthread_1,86283,0.91%,
hov-tyran,Temp_Weapon_Buzzing_Rune_2,86276,0.90%,
hov-tyran,Chest_Reserve_of_Intellect_3,86210,0.82%,
hov-tyran,Chest_Waking_Stats_1,86201,0.81%,
hov-tyran,Temp_Weapon_Howling_Rune_1,86198,0.81%,
hov-tyran,Legs_Vibrant_Spellthread_3,86173,0.78%,
hov-tyran,Chest_Reserve_of_Intellect_2,86124,0.72%,
hov-tyran,Legs_Vibrant_Spellthread_2,86079,0.67%,
hov-tyran,Temp_Weapon_Buzzing_Rune_1,86075,0.67%,
hov-tyran,Chest_Reserve_of_Intellect_1,86001,0.58%,
hov-tyran,Legs_Vibrant_Spellthread_1,85895,0.46%,
hov-tyran,Base,85505,0.00%,
hov-tyran,Ring_Devotion_of_Mastery_3,85428,-0.09%,
hov-tyran,Ring_Devotion_of_Haste_3,85416,-0.10%,
hov-tyran,Ring_Devotion_of_Versatility_3,85414,-0.11%,
hov-tyran,Ring_Devotion_of_Haste_2,85406,-0.12%,
hov-tyran,Ring_Devotion_of_Mastery_2,85382,-0.14%,
hov-tyran,Ring_Devotion_of_Haste_1,85381,-0.15%,
hov-tyran,Ring_Devotion_of_Mastery_1,85370,-0.16%,
hov-tyran,Ring_Devotion_of_Critical_Strike_3,85365,-0.16%,
hov-tyran,Ring_Devotion_of_Versatility_1,85365,-0.16%,
hov-tyran,Ring_Devotion_of_Critical_Strike_2,85363,-0.17%,
hov-tyran,Ring_Writ_of_Mastery_3,85361,-0.17%,
hov-tyran,Ring_Writ_of_Versatility_3,85359,-0.17%,
hov-tyran,Ring_Writ_of_Haste_2,85340,-0.19%,
hov-tyran,Ring_Writ_of_Haste_3,85338,-0.20%,
hov-tyran,Ring_Devotion_of_Versatility_2,85336,-0.20%,
hov-tyran,Ring_Devotion_of_Critical_Strike_1,85319,-0.22%,
hov-tyran,Ring_Writ_of_Critical_Strike_3,85309,-0.23%,
hov-tyran,Ring_Writ_of_Mastery_2,85308,-0.23%,
hov-tyran,Ring_Writ_of_Critical_Strike_2,85293,-0.25%,
hov-tyran,Ring_Writ_of_Haste_1,85277,-0.27%,
hov-tyran,Ring_Writ_of_Versatility_2,85277,-0.27%,
hov-tyran,Ring_Writ_of_Mastery_1,85270,-0.27%,
hov-tyran,Ring_Writ_of_Versatility_1,85253,-0.29%,
hov-tyran,Ring_Writ_of_Critical_Strike_1,85247,-0.30%,
