profile,actor,DPS,increase,
hov-tyran,Weapon_Sophic_Devotion_3,81920,2.36%,
hov-tyran,Weapon_Sophic_Devotion_2,81756,2.15%,
hov-tyran,Weapon_Wafting_Devotion_3,81683,2.06%,
hov-tyran,Weapon_Sophic_Devotion_1,81614,1.97%,
hov-tyran,Legs_Temporal_Spellthread_3,81573,1.92%,
hov-tyran,Legs_Frozen_Spellthread_3,81564,1.91%,
hov-tyran,Weapon_Sophic_Writ_3,81562,1.91%,
hov-tyran,Weapon_Wafting_Devotion_2,81529,1.87%,
hov-tyran,Weapon_Wafting_Devotion_1,81451,1.77%,
hov-tyran,Weapon_Sophic_Writ_2,81438,1.75%,
hov-tyran,Weapon_Wafting_Writ_3,81376,1.68%,
hov-tyran,Legs_Temporal_Spellthread_2,81369,1.67%,
hov-tyran,Chest_Waking_Stats_3,81357,1.65%,
hov-tyran,Legs_Frozen_Spellthread_2,81349,1.64%,
hov-tyran,Weapon_Sophic_Writ_1,81319,1.60%,
hov-tyran,Weapon_Wafting_Writ_2,81281,1.56%,
hov-tyran,Weapon_Frozen_Writ_3,81275,1.55%,
hov-tyran,Weapon_Earthen_Writ_3,81261,1.53%,
hov-tyran,Weapon_Earthen_Writ_2,81209,1.47%,
hov-tyran,Temp_Weapon_Howling_Rune_3,81196,1.45%,
hov-tyran,Weapon_Burning_Writ_3,81196,1.45%,
hov-tyran,Temp_Weapon_Buzzing_Rune_3,81178,1.43%,
hov-tyran,Legs_Frozen_Spellthread_1,81159,1.40%,
hov-tyran,Weapon_Frozen_Writ_2,81150,1.39%,
hov-tyran,Weapon_Burning_Writ_2,81149,1.39%,
hov-tyran,Chest_Waking_Stats_2,81140,1.38%,
hov-tyran,Legs_Temporal_Spellthread_1,81129,1.37%,
hov-tyran,Weapon_Wafting_Writ_1,81125,1.36%,
hov-tyran,Temp_Weapon_Howling_Rune_2,81116,1.35%,
hov-tyran,Weapon_Earthen_Writ_1,81100,1.33%,
hov-tyran,Weapon_Burning_Writ_1,81032,1.25%,
hov-tyran,Chest_Reserve_of_Intellect_3,81003,1.21%,
hov-tyran,Weapon_Frozen_Writ_1,80997,1.20%,
hov-tyran,Legs_Vibrant_Spellthread_3,80980,1.18%,
hov-tyran,Temp_Weapon_Buzzing_Rune_2,80978,1.18%,
hov-tyran,Chest_Waking_Stats_1,80973,1.17%,
hov-tyran,Chest_Reserve_of_Intellect_2,80898,1.08%,
hov-tyran,Temp_Weapon_Howling_Rune_1,80889,1.07%,
hov-tyran,Legs_Vibrant_Spellthread_2,80835,1.00%,
hov-tyran,Temp_Weapon_Buzzing_Rune_1,80828,0.99%,
hov-tyran,Legs_Vibrant_Spellthread_1,80700,0.83%,
hov-tyran,Chest_Reserve_of_Intellect_1,80695,0.82%,
hov-tyran,Base,80035,0.00%,
hov-tyran,Ring_Devotion_of_Mastery_3,79994,-0.05%,
hov-tyran,Ring_Devotion_of_Versatility_3,79980,-0.07%,
hov-tyran,Ring_Devotion_of_Critical_Strike_3,79954,-0.10%,
hov-tyran,Ring_Devotion_of_Haste_3,79951,-0.10%,
hov-tyran,Ring_Devotion_of_Critical_Strike_2,79943,-0.11%,
hov-tyran,Ring_Devotion_of_Haste_1,79942,-0.12%,
hov-tyran,Ring_Devotion_of_Haste_2,79935,-0.12%,
hov-tyran,Ring_Devotion_of_Versatility_1,79928,-0.13%,
hov-tyran,Ring_Devotion_of_Mastery_2,79922,-0.14%,
hov-tyran,Ring_Writ_of_Mastery_3,79914,-0.15%,
hov-tyran,Ring_Devotion_of_Mastery_1,79897,-0.17%,
hov-tyran,Ring_Devotion_of_Versatility_2,79885,-0.19%,
hov-tyran,Ring_Writ_of_Haste_3,79882,-0.19%,
hov-tyran,Ring_Devotion_of_Critical_Strike_1,79876,-0.20%,
hov-tyran,Ring_Writ_of_Versatility_3,79874,-0.20%,
hov-tyran,Ring_Writ_of_Critical_Strike_3,79872,-0.20%,
hov-tyran,Ring_Writ_of_Haste_2,79851,-0.23%,
hov-tyran,Ring_Writ_of_Versatility_2,79847,-0.23%,
hov-tyran,Ring_Writ_of_Mastery_2,79831,-0.25%,
hov-tyran,Ring_Writ_of_Haste_1,79815,-0.27%,
hov-tyran,Ring_Writ_of_Versatility_1,79804,-0.29%,
hov-tyran,Ring_Writ_of_Critical_Strike_1,79799,-0.29%,
hov-tyran,Ring_Writ_of_Mastery_1,79794,-0.30%,
hov-tyran,Ring_Writ_of_Critical_Strike_2,79792,-0.30%,
