profile,actor,DPS,increase,
nokhud-fort,Weapon_Sophic_Devotion_3,104714,2.24%,
nokhud-fort,Weapon_Sophic_Devotion_2,104614,2.14%,
nokhud-fort,Legs_Frozen_Spellthread_3,104373,1.90%,
nokhud-fort,Weapon_Sophic_Devotion_1,104345,1.88%,
nokhud-fort,Legs_Temporal_Spellthread_3,104314,1.85%,
nokhud-fort,Weapon_Sophic_Writ_3,104252,1.79%,
nokhud-fort,Weapon_Wafting_Devotion_3,104237,1.77%,
nokhud-fort,Weapon_Wafting_Devotion_2,104118,1.65%,
nokhud-fort,Weapon_Sophic_Writ_2,104108,1.65%,
nokhud-fort,Legs_Temporal_Spellthread_2,104087,1.62%,
nokhud-fort,Legs_Frozen_Spellthread_2,104059,1.60%,
nokhud-fort,Chest_Waking_Stats_3,103989,1.53%,
nokhud-fort,Weapon_Earthen_Writ_3,103985,1.53%,
nokhud-fort,Weapon_Frozen_Writ_3,103975,1.52%,
nokhud-fort,Weapon_Wafting_Devotion_1,103974,1.51%,
nokhud-fort,Weapon_Sophic_Writ_1,103973,1.51%,
nokhud-fort,Temp_Weapon_Howling_Rune_3,103962,1.50%,
nokhud-fort,Weapon_Wafting_Writ_3,103919,1.46%,
nokhud-fort,Weapon_Burning_Writ_3,103897,1.44%,
nokhud-fort,Weapon_Earthen_Writ_2,103866,1.41%,
nokhud-fort,Temp_Weapon_Buzzing_Rune_3,103829,1.37%,
nokhud-fort,Weapon_Burning_Writ_2,103804,1.35%,
nokhud-fort,Weapon_Wafting_Writ_2,103793,1.34%,
nokhud-fort,Weapon_Frozen_Writ_2,103773,1.32%,
nokhud-fort,Legs_Frozen_Spellthread_1,103762,1.31%,
nokhud-fort,Chest_Waking_Stats_2,103754,1.30%,
nokhud-fort,Temp_Weapon_Howling_Rune_2,103751,1.30%,
nokhud-fort,Legs_Temporal_Spellthread_1,103720,1.27%,
nokhud-fort,Weapon_Earthen_Writ_1,103715,1.26%,
nokhud-fort,Weapon_Frozen_Writ_1,103701,1.25%,
nokhud-fort,Weapon_Wafting_Writ_1,103676,1.22%,
nokhud-fort,Chest_Reserve_of_Intellect_3,103644,1.19%,
nokhud-fort,Weapon_Burning_Writ_1,103604,1.15%,
nokhud-fort,Temp_Weapon_Buzzing_Rune_2,103601,1.15%,
nokhud-fort,Legs_Vibrant_Spellthread_3,103550,1.10%,
nokhud-fort,Chest_Waking_Stats_1,103530,1.08%,
nokhud-fort,Temp_Weapon_Howling_Rune_1,103462,1.01%,
nokhud-fort,Temp_Weapon_Buzzing_Rune_1,103409,0.96%,
nokhud-fort,Chest_Reserve_of_Intellect_2,103407,0.96%,
nokhud-fort,Legs_Vibrant_Spellthread_2,103346,0.90%,
nokhud-fort,Chest_Reserve_of_Intellect_1,103229,0.79%,
nokhud-fort,Legs_Vibrant_Spellthread_1,103209,0.77%,
nokhud-fort,Base,102423,0.00%,
nokhud-fort,Ring_Devotion_of_Mastery_3,102345,-0.08%,
nokhud-fort,Ring_Devotion_of_Haste_3,102337,-0.08%,
nokhud-fort,Ring_Devotion_of_Haste_2,102324,-0.10%,
nokhud-fort,Ring_Devotion_of_Versatility_3,102274,-0.15%,
nokhud-fort,Ring_Devotion_of_Critical_Strike_3,102256,-0.16%,
nokhud-fort,Ring_Devotion_of_Versatility_2,102253,-0.17%,
nokhud-fort,Ring_Devotion_of_Haste_1,102247,-0.17%,
nokhud-fort,Ring_Devotion_of_Critical_Strike_2,102244,-0.17%,
nokhud-fort,Ring_Devotion_of_Mastery_1,102242,-0.18%,
nokhud-fort,Ring_Devotion_of_Mastery_2,102232,-0.19%,
nokhud-fort,Ring_Writ_of_Haste_3,102220,-0.20%,
nokhud-fort,Ring_Devotion_of_Versatility_1,102216,-0.20%,
nokhud-fort,Ring_Writ_of_Mastery_3,102199,-0.22%,
nokhud-fort,Ring_Writ_of_Haste_2,102182,-0.24%,
nokhud-fort,Ring_Writ_of_Critical_Strike_3,102158,-0.26%,
nokhud-fort,Ring_Writ_of_Mastery_2,102158,-0.26%,
nokhud-fort,Ring_Writ_of_Versatility_3,102151,-0.27%,
nokhud-fort,Ring_Devotion_of_Critical_Strike_1,102147,-0.27%,
nokhud-fort,Ring_Writ_of_Critical_Strike_2,102140,-0.28%,
nokhud-fort,Ring_Writ_of_Haste_1,102124,-0.29%,
nokhud-fort,Ring_Writ_of_Mastery_1,102107,-0.31%,
nokhud-fort,Ring_Writ_of_Versatility_2,102096,-0.32%,
nokhud-fort,Ring_Writ_of_Critical_Strike_1,102091,-0.32%,
nokhud-fort,Ring_Writ_of_Versatility_1,102091,-0.32%,
