profile,actor,DPS,increase,
2T,Skillful_Illimited_Diamond_3,90172,1.01%,
2T,Resplendent_Illimited_Diamond_3,90170,1.01%,
2T,Fierce_Illimited_Diamond_3,90149,0.99%,
2T,Inscribed_Illimited_Diamond_3,90134,0.97%,
2T,Fierce_Illimited_Diamond_2,90041,0.86%,
2T,Resplendent_Illimited_Diamond_2,90037,0.86%,
2T,Skillful_Illimited_Diamond_2,90034,0.86%,
2T,Inscribed_Illimited_Diamond_2,90023,0.84%,
2T,Inscribed_Illimited_Diamond_1,89911,0.72%,
2T,Fierce_Illimited_Diamond_1,89896,0.70%,
2T,Skillful_Illimited_Diamond_1,89895,0.70%,
2T,Resplendent_Illimited_Diamond_1,89884,0.69%,
2T,Keen_Neltharite_3,89738,0.53%,
2T,Crafty_Alexstraszite_3,89720,0.50%,
2T,Zen_Neltharite_3,89719,0.50%,
2T,Senseis_Neltharite_3,89712,0.50%,
2T,Senseis_Alexstraszite_3,89709,0.49%,
2T,Zen_Malygite_3,89708,0.49%,
2T,Energized_Malygite_3,89697,0.48%,
2T,Radiant_Alexstraszite_3,89693,0.47%,
2T,Keen_Neltharite_2,89688,0.47%,
2T,Energized_Ysemerald_3,89687,0.47%,
2T,Keen_Ysemerald_3,89682,0.46%,
2T,Crafty_Ysemerald_3,89676,0.46%,
2T,Radiant_Malygite_3,89674,0.45%,
2T,Crafty_Alexstraszite_2,89671,0.45%,
2T,Energized_Malygite_2,89669,0.45%,
2T,Zen_Neltharite_2,89651,0.43%,
2T,Radiant_Alexstraszite_2,89649,0.43%,
2T,Keen_Ysemerald_2,89648,0.42%,
2T,Fractured_Neltharite_3,89645,0.42%,
2T,Senseis_Alexstraszite_2,89643,0.42%,
2T,Quick_Ysemerald_3,89633,0.41%,
2T,Deadly_Alexstraszite_3,89632,0.41%,
2T,Energized_Ysemerald_2,89630,0.40%,
2T,Crafty_Ysemerald_2,89624,0.40%,
2T,Senseis_Neltharite_2,89621,0.39%,
2T,Stormy_Malygite_3,89614,0.39%,
2T,Radiant_Malygite_2,89611,0.38%,
2T,Zen_Malygite_2,89611,0.38%,
2T,Zen_Malygite_1,89595,0.37%,
2T,Quick_Ysemerald_2,89589,0.36%,
2T,Senseis_Alexstraszite_1,89585,0.35%,
2T,Senseis_Neltharite_1,89582,0.35%,
2T,Crafty_Alexstraszite_1,89580,0.35%,
2T,Stormy_Malygite_2,89573,0.34%,
2T,Fractured_Neltharite_2,89573,0.34%,
2T,Zen_Neltharite_1,89572,0.34%,
2T,Deadly_Alexstraszite_2,89568,0.33%,
2T,Energized_Malygite_1,89561,0.33%,
2T,Radiant_Malygite_1,89560,0.33%,
2T,Fractured_Neltharite_1,89550,0.32%,
2T,Keen_Ysemerald_1,89543,0.31%,
2T,Stormy_Malygite_1,89543,0.31%,
2T,Keen_Neltharite_1,89538,0.30%,
2T,Energized_Ysemerald_1,89534,0.30%,
2T,Radiant_Alexstraszite_1,89531,0.29%,
2T,Deadly_Alexstraszite_1,89527,0.29%,
2T,Crafty_Ysemerald_1,89517,0.28%,
2T,Senseis_Sundered_Onyx_3,89513,0.27%,
2T,Quick_Ysemerald_1,89505,0.26%,
2T,Zen_Mystic_Sapphire_3,89500,0.26%,
2T,Energized_Vibrant_Emerald_3,89488,0.24%,
2T,Crafty_Queens_Ruby_3,89478,0.23%,
2T,Senseis_Sundered_Onyx_2,89454,0.21%,
2T,Forceful_Nozdorite_3,89445,0.20%,
2T,Zen_Mystic_Sapphire_2,89442,0.19%,
2T,Crafty_Queens_Ruby_2,89439,0.19%,
2T,Zen_Mystic_Sapphire_1,89436,0.19%,
2T,Energized_Vibrant_Emerald_2,89432,0.18%,
2T,Senseis_Sundered_Onyx_1,89423,0.17%,
2T,Jagged_Nozdorite_3,89417,0.17%,
2T,Crafty_Queens_Ruby_1,89417,0.17%,
2T,Forceful_Nozdorite_2,89410,0.16%,
2T,Jagged_Nozdorite_2,89404,0.15%,
2T,Energized_Vibrant_Emerald_1,89388,0.13%,
2T,Steady_Nozdorite_3,89388,0.13%,
2T,Puissant_Nozdorite_2,89383,0.13%,
2T,Puissant_Nozdorite_3,89380,0.12%,
2T,Puissant_Nozdorite_1,89379,0.12%,
2T,Steady_Nozdorite_2,89373,0.12%,
2T,Steady_Nozdorite_1,89372,0.11%,
2T,Jagged_Nozdorite_1,89359,0.10%,
2T,Forceful_Nozdorite_1,89348,0.09%,
2T,Solid_Eternity_Amber_3,89272,0.00%,
2T,Base,89269,0.00%,
2T,Solid_Eternity_Amber_2,89267,0.00%,
2T,Solid_Eternity_Amber_1,89266,0.00%,
