profile,actor,DPS,increase,
2T,Resplendent_Illimited_Diamond_3,243374,0.74%,
2T,Inscribed_Illimited_Diamond_3,243359,0.73%,
2T,Skillful_Illimited_Diamond_3,243261,0.69%,
2T,Fierce_Illimited_Diamond_3,243246,0.68%,
2T,Resplendent_Illimited_Diamond_2,243123,0.63%,
2T,Inscribed_Illimited_Diamond_2,243046,0.60%,
2T,Skillful_Illimited_Diamond_2,242989,0.58%,
2T,Resplendent_Illimited_Diamond_1,242839,0.51%,
2T,Fierce_Illimited_Diamond_2,242829,0.51%,
2T,Inscribed_Illimited_Diamond_1,242791,0.50%,
2T,Skillful_Illimited_Diamond_1,242713,0.46%,
2T,Radiant_Alexstraszite_3,242656,0.44%,
2T,Radiant_Malygite_3,242654,0.44%,
2T,Zen_Malygite_3,242616,0.42%,
2T,Fierce_Illimited_Diamond_1,242612,0.42%,
2T,Senseis_Alexstraszite_3,242594,0.41%,
2T,Zen_Neltharite_3,242561,0.40%,
2T,Stormy_Malygite_3,242544,0.39%,
2T,Crafty_Alexstraszite_3,242524,0.38%,
2T,Senseis_Neltharite_3,242524,0.38%,
2T,Energized_Malygite_3,242489,0.37%,
2T,Zen_Malygite_2,242478,0.37%,
2T,Radiant_Malygite_2,242442,0.35%,
2T,Keen_Neltharite_3,242438,0.35%,
2T,Crafty_Ysemerald_3,242436,0.35%,
2T,Fractured_Neltharite_3,242434,0.35%,
2T,Senseis_Alexstraszite_2,242432,0.35%,
2T,Radiant_Alexstraszite_2,242431,0.35%,
2T,Energized_Ysemerald_3,242426,0.34%,
2T,Zen_Neltharite_2,242409,0.34%,
2T,Keen_Ysemerald_3,242389,0.33%,
2T,Senseis_Neltharite_2,242379,0.32%,
2T,Deadly_Alexstraszite_3,242361,0.32%,
2T,Energized_Malygite_2,242358,0.32%,
2T,Keen_Neltharite_2,242355,0.31%,
2T,Crafty_Alexstraszite_2,242324,0.30%,
2T,Fractured_Neltharite_2,242317,0.30%,
2T,Stormy_Malygite_2,242306,0.29%,
2T,Radiant_Malygite_1,242303,0.29%,
2T,Senseis_Alexstraszite_1,242293,0.29%,
2T,Deadly_Alexstraszite_2,242285,0.29%,
2T,Stormy_Malygite_1,242285,0.29%,
2T,Zen_Malygite_1,242274,0.28%,
2T,Quick_Ysemerald_3,242257,0.27%,
2T,Zen_Neltharite_1,242250,0.27%,
2T,Crafty_Ysemerald_2,242249,0.27%,
2T,Energized_Malygite_1,242243,0.27%,
2T,Radiant_Alexstraszite_1,242242,0.27%,
2T,Crafty_Alexstraszite_1,242237,0.27%,
2T,Energized_Ysemerald_2,242237,0.27%,
2T,Deadly_Alexstraszite_1,242192,0.25%,
2T,Fractured_Neltharite_1,242186,0.24%,
2T,Senseis_Neltharite_1,242167,0.24%,
2T,Crafty_Ysemerald_1,242164,0.24%,
2T,Keen_Ysemerald_2,242143,0.23%,
2T,Keen_Neltharite_1,242110,0.21%,
2T,Quick_Ysemerald_2,242093,0.21%,
2T,Keen_Ysemerald_1,242040,0.18%,
2T,Energized_Ysemerald_1,242015,0.17%,
2T,Jagged_Nozdorite_3,241995,0.17%,
2T,Quick_Ysemerald_1,241979,0.16%,
2T,Steady_Nozdorite_1,241815,0.09%,
2T,Steady_Nozdorite_2,241812,0.09%,
2T,Steady_Nozdorite_3,241794,0.08%,
2T,Jagged_Nozdorite_1,241792,0.08%,
2T,Puissant_Nozdorite_2,241761,0.07%,
2T,Jagged_Nozdorite_2,241755,0.07%,
2T,Puissant_Nozdorite_1,241755,0.07%,
2T,Forceful_Nozdorite_3,241738,0.06%,
2T,Forceful_Nozdorite_2,241717,0.05%,
2T,Puissant_Nozdorite_3,241714,0.05%,
2T,Forceful_Nozdorite_1,241651,0.02%,
2T,Base,241595,0.00%,
