profile,actor,DPS,increase,
2T,Fierce_Illimited_Diamond_415,79140,2.87%,
2T,Skillful_Illimited_Diamond_415,79117,2.84%,
2T,Inscribed_Illimited_Diamond_415,79072,2.78%,
2T,Resplendent_Illimited_Diamond_415,79035,2.73%,
2T,Fierce_Illimited_Diamond_400,78795,2.42%,
2T,Skillful_Illimited_Diamond_400,78775,2.39%,
2T,Inscribed_Illimited_Diamond_400,78760,2.37%,
2T,Resplendent_Illimited_Diamond_400,78740,2.35%,
2T,Fierce_Illimited_Diamond_385,78485,2.01%,
2T,Resplendent_Illimited_Diamond_385,78454,1.97%,
2T,Skillful_Illimited_Diamond_385,78444,1.96%,
2T,Inscribed_Illimited_Diamond_385,78428,1.94%,
2T,Keen_Ysemerald_415,77977,1.35%,
2T,Keen_Neltharite_415,77965,1.34%,
2T,Energized_Malygite_415,77951,1.32%,
2T,Crafty_Alexstraszite_415,77944,1.31%,
2T,Crafty_Ysemerald_415,77938,1.30%,
2T,Senseis_Alexstraszite_415,77931,1.29%,
2T,Zen_Malygite_415,77929,1.29%,
2T,Zen_Neltharite_415,77920,1.28%,
2T,Senseis_Neltharite_415,77918,1.28%,
2T,Radiant_Alexstraszite_415,77904,1.26%,
2T,Radiant_Malygite_415,77900,1.26%,
2T,Energized_Ysemerald_415,77900,1.25%,
2T,Keen_Neltharite_400,77850,1.19%,
2T,Keen_Ysemerald_400,77833,1.17%,
2T,Energized_Ysemerald_400,77825,1.16%,
2T,Crafty_Alexstraszite_400,77814,1.14%,
2T,Crafty_Ysemerald_400,77811,1.14%,
2T,Zen_Neltharite_400,77809,1.14%,
2T,Energized_Malygite_400,77808,1.13%,
2T,Senseis_Neltharite_400,77802,1.13%,
2T,Fractured_Neltharite_415,77796,1.12%,
2T,Zen_Malygite_400,77784,1.10%,
2T,Radiant_Malygite_400,77772,1.09%,
2T,Senseis_Alexstraszite_400,77762,1.08%,
2T,Radiant_Alexstraszite_400,77761,1.07%,
2T,Deadly_Alexstraszite_415,77760,1.07%,
2T,Quick_Ysemerald_415,77737,1.04%,
2T,Stormy_Malygite_415,77734,1.04%,
2T,Crafty_Ysemerald_385,77709,1.01%,
2T,Quick_Ysemerald_400,77685,0.97%,
2T,Fractured_Neltharite_400,77668,0.95%,
2T,Keen_Ysemerald_385,77664,0.95%,
2T,Keen_Neltharite_385,77643,0.92%,
2T,Stormy_Malygite_400,77640,0.92%,
2T,Energized_Ysemerald_385,77633,0.91%,
2T,Energized_Malygite_385,77629,0.90%,
2T,Senseis_Neltharite_385,77624,0.90%,
2T,Zen_Neltharite_385,77624,0.90%,
2T,Deadly_Alexstraszite_400,77621,0.89%,
2T,Crafty_Alexstraszite_385,77617,0.89%,
2T,Radiant_Alexstraszite_385,77606,0.87%,
2T,Zen_Malygite_385,77601,0.87%,
2T,Radiant_Malygite_385,77600,0.86%,
2T,Senseis_Alexstraszite_385,77585,0.84%,
2T,Forceful_Nozdorite_415,77572,0.83%,
2T,Jagged_Nozdorite_415,77564,0.82%,
2T,Puissant_Nozdorite_415,77540,0.79%,
2T,Quick_Ysemerald_385,77526,0.77%,
2T,Fractured_Neltharite_385,77526,0.77%,
2T,Steady_Nozdorite_415,77510,0.75%,
2T,Stormy_Malygite_385,77510,0.75%,
2T,Puissant_Nozdorite_400,77488,0.72%,
2T,Deadly_Alexstraszite_385,77480,0.71%,
2T,Forceful_Nozdorite_400,77471,0.70%,
2T,Energized_Vibrant_Emerald_415,77460,0.68%,
2T,Crafty_Queens_Ruby_415,77456,0.68%,
2T,Steady_Nozdorite_400,77451,0.67%,
2T,Senseis_Sundered_Onyx_415,77427,0.64%,
2T,Jagged_Nozdorite_400,77418,0.63%,
2T,Forceful_Nozdorite_385,77407,0.61%,
2T,Zen_Mystic_Sapphire_415,77407,0.61%,
2T,Energized_Vibrant_Emerald_400,77387,0.59%,
2T,Crafty_Queens_Ruby_400,77365,0.56%,
2T,Jagged_Nozdorite_385,77362,0.56%,
2T,Puissant_Nozdorite_385,77351,0.54%,
2T,Steady_Nozdorite_385,77344,0.53%,
2T,Senseis_Sundered_Onyx_400,77343,0.53%,
2T,Zen_Mystic_Sapphire_400,77340,0.53%,
2T,Crafty_Queens_Ruby_385,77338,0.52%,
2T,Energized_Vibrant_Emerald_385,77297,0.47%,
2T,Senseis_Sundered_Onyx_385,77254,0.41%,
2T,Zen_Mystic_Sapphire_385,77232,0.39%,
2T,Base,76935,0.00%,
2T,Solid_Eternity_Amber_385,76916,-0.02%,
2T,Solid_Eternity_Amber_415,76911,-0.03%,
2T,Solid_Eternity_Amber_400,76907,-0.04%,
