profile,actor,DPS,increase,
2T,Inscribed_Illimited_Diamond_3,275793,0.80%,
2T,Resplendent_Illimited_Diamond_3,275697,0.77%,
2T,Fierce_Illimited_Diamond_3,275507,0.70%,
2T,Skillful_Illimited_Diamond_3,275501,0.69%,
2T,Resplendent_Illimited_Diamond_2,275461,0.68%,
2T,Inscribed_Illimited_Diamond_2,275345,0.64%,
2T,Skillful_Illimited_Diamond_2,275288,0.62%,
2T,Inscribed_Illimited_Diamond_1,275096,0.55%,
2T,Fierce_Illimited_Diamond_2,275076,0.54%,
2T,Resplendent_Illimited_Diamond_1,275059,0.53%,
2T,Skillful_Illimited_Diamond_1,274990,0.51%,
2T,Zen_Neltharite_3,274967,0.50%,
2T,Fierce_Illimited_Diamond_1,274926,0.48%,
2T,Radiant_Alexstraszite_3,274917,0.48%,
2T,Senseis_Alexstraszite_3,274852,0.46%,
2T,Radiant_Malygite_3,274820,0.45%,
2T,Crafty_Alexstraszite_3,274799,0.44%,
2T,Energized_Malygite_3,274789,0.43%,
2T,Deadly_Alexstraszite_3,274774,0.43%,
2T,Senseis_Neltharite_3,274774,0.43%,
2T,Stormy_Malygite_3,274707,0.40%,
2T,Zen_Malygite_3,274688,0.40%,
2T,Stormy_Malygite_2,274678,0.39%,
2T,Zen_Neltharite_2,274676,0.39%,
2T,Keen_Neltharite_3,274670,0.39%,
2T,Radiant_Alexstraszite_2,274662,0.39%,
2T,Zen_Malygite_2,274662,0.39%,
2T,Keen_Neltharite_2,274661,0.39%,
2T,Crafty_Alexstraszite_2,274657,0.39%,
2T,Radiant_Malygite_2,274641,0.38%,
2T,Keen_Ysemerald_3,274617,0.37%,
2T,Senseis_Neltharite_2,274616,0.37%,
2T,Senseis_Alexstraszite_2,274592,0.36%,
2T,Energized_Malygite_2,274578,0.36%,
2T,Fractured_Neltharite_2,274562,0.35%,
2T,Fractured_Neltharite_3,274545,0.34%,
2T,Crafty_Ysemerald_3,274543,0.34%,
2T,Energized_Ysemerald_3,274538,0.34%,
2T,Deadly_Alexstraszite_2,274537,0.34%,
2T,Energized_Malygite_1,274521,0.34%,
2T,Crafty_Alexstraszite_1,274520,0.34%,
2T,Senseis_Alexstraszite_1,274489,0.32%,
2T,Zen_Neltharite_1,274482,0.32%,
2T,Stormy_Malygite_1,274476,0.32%,
2T,Radiant_Alexstraszite_1,274476,0.32%,
2T,Radiant_Malygite_1,274472,0.32%,
2T,Keen_Neltharite_1,274470,0.32%,
2T,Keen_Ysemerald_2,274463,0.31%,
2T,Zen_Malygite_1,274432,0.30%,
2T,Energized_Ysemerald_1,274431,0.30%,
2T,Quick_Ysemerald_3,274427,0.30%,
2T,Crafty_Ysemerald_2,274421,0.30%,
2T,Senseis_Neltharite_1,274395,0.29%,
2T,Energized_Ysemerald_2,274369,0.28%,
2T,Deadly_Alexstraszite_1,274356,0.28%,
2T,Quick_Ysemerald_2,274318,0.26%,
2T,Fractured_Neltharite_1,274290,0.25%,
2T,Crafty_Ysemerald_1,274220,0.23%,
2T,Keen_Ysemerald_1,274220,0.23%,
2T,Steady_Nozdorite_3,274124,0.19%,
2T,Quick_Ysemerald_1,274067,0.17%,
2T,Jagged_Nozdorite_2,274021,0.15%,
2T,Puissant_Nozdorite_3,274011,0.15%,
2T,Jagged_Nozdorite_3,273999,0.15%,
2T,Steady_Nozdorite_2,273968,0.13%,
2T,Jagged_Nozdorite_1,273960,0.13%,
2T,Puissant_Nozdorite_2,273906,0.11%,
2T,Forceful_Nozdorite_3,273859,0.09%,
2T,Steady_Nozdorite_1,273853,0.09%,
2T,Forceful_Nozdorite_2,273834,0.08%,
2T,Puissant_Nozdorite_1,273747,0.05%,
2T,Forceful_Nozdorite_1,273739,0.05%,
2T,Base,273601,0.00%,
