profile,actor,DPS,increase,
Dungeons-Standard,Inscribed_Illimited_Diamond_3,206052,0.68%,
Dungeons-Standard,Resplendent_Illimited_Diamond_3,206036,0.67%,
Dungeons-Standard,Skillful_Illimited_Diamond_3,205959,0.64%,
Dungeons-Standard,Fierce_Illimited_Diamond_3,205875,0.59%,
Dungeons-Standard,Resplendent_Illimited_Diamond_2,205856,0.59%,
Dungeons-Standard,Inscribed_Illimited_Diamond_2,205828,0.57%,
Dungeons-Standard,Skillful_Illimited_Diamond_2,205756,0.54%,
Dungeons-Standard,Fierce_Illimited_Diamond_2,205656,0.49%,
Dungeons-Standard,Resplendent_Illimited_Diamond_1,205639,0.48%,
Dungeons-Standard,Inscribed_Illimited_Diamond_1,205620,0.47%,
Dungeons-Standard,Skillful_Illimited_Diamond_1,205565,0.44%,
Dungeons-Standard,Fierce_Illimited_Diamond_1,205527,0.43%,
Dungeons-Standard,Radiant_Alexstraszite_3,205510,0.42%,
Dungeons-Standard,Radiant_Malygite_3,205506,0.41%,
Dungeons-Standard,Zen_Malygite_3,205461,0.39%,
Dungeons-Standard,Senseis_Alexstraszite_3,205459,0.39%,
Dungeons-Standard,Senseis_Neltharite_3,205414,0.37%,
Dungeons-Standard,Stormy_Malygite_3,205400,0.36%,
Dungeons-Standard,Radiant_Malygite_2,205395,0.36%,
Dungeons-Standard,Zen_Neltharite_3,205392,0.36%,
Dungeons-Standard,Energized_Malygite_3,205390,0.36%,
Dungeons-Standard,Crafty_Alexstraszite_3,205378,0.35%,
Dungeons-Standard,Radiant_Alexstraszite_2,205377,0.35%,
Dungeons-Standard,Deadly_Alexstraszite_3,205377,0.35%,
Dungeons-Standard,Crafty_Ysemerald_3,205370,0.35%,
Dungeons-Standard,Zen_Malygite_2,205367,0.35%,
Dungeons-Standard,Energized_Ysemerald_3,205352,0.34%,
Dungeons-Standard,Senseis_Alexstraszite_2,205349,0.34%,
Dungeons-Standard,Keen_Ysemerald_3,205327,0.33%,
Dungeons-Standard,Zen_Neltharite_2,205314,0.32%,
Dungeons-Standard,Keen_Neltharite_3,205309,0.32%,
Dungeons-Standard,Crafty_Alexstraszite_2,205304,0.32%,
Dungeons-Standard,Energized_Malygite_2,205294,0.31%,
Dungeons-Standard,Senseis_Neltharite_2,205293,0.31%,
Dungeons-Standard,Fractured_Neltharite_3,205275,0.30%,
Dungeons-Standard,Stormy_Malygite_2,205261,0.30%,
Dungeons-Standard,Deadly_Alexstraszite_2,205255,0.29%,
Dungeons-Standard,Radiant_Alexstraszite_1,205248,0.29%,
Dungeons-Standard,Radiant_Malygite_1,205239,0.28%,
Dungeons-Standard,Keen_Neltharite_2,205230,0.28%,
Dungeons-Standard,Energized_Ysemerald_2,205226,0.28%,
Dungeons-Standard,Zen_Malygite_1,205208,0.27%,
Dungeons-Standard,Senseis_Alexstraszite_1,205206,0.27%,
Dungeons-Standard,Energized_Malygite_1,205202,0.27%,
Dungeons-Standard,Crafty_Ysemerald_2,205190,0.26%,
Dungeons-Standard,Quick_Ysemerald_3,205189,0.26%,
Dungeons-Standard,Senseis_Neltharite_1,205188,0.26%,
Dungeons-Standard,Zen_Neltharite_1,205187,0.26%,
Dungeons-Standard,Fractured_Neltharite_2,205180,0.26%,
Dungeons-Standard,Crafty_Alexstraszite_1,205179,0.26%,
Dungeons-Standard,Energized_Ysemerald_1,205179,0.25%,
Dungeons-Standard,Keen_Ysemerald_2,205172,0.25%,
Dungeons-Standard,Stormy_Malygite_1,205171,0.25%,
Dungeons-Standard,Deadly_Alexstraszite_1,205158,0.24%,
Dungeons-Standard,Crafty_Ysemerald_1,205136,0.23%,
Dungeons-Standard,Keen_Neltharite_1,205132,0.23%,
Dungeons-Standard,Keen_Ysemerald_1,205128,0.23%,
Dungeons-Standard,Quick_Ysemerald_2,205110,0.22%,
Dungeons-Standard,Fractured_Neltharite_1,205085,0.21%,
Dungeons-Standard,Quick_Ysemerald_1,205024,0.18%,
Dungeons-Standard,Steady_Nozdorite_3,204921,0.13%,
Dungeons-Standard,Steady_Nozdorite_2,204910,0.12%,
Dungeons-Standard,Jagged_Nozdorite_3,204907,0.12%,
Dungeons-Standard,Jagged_Nozdorite_2,204875,0.11%,
Dungeons-Standard,Puissant_Nozdorite_3,204875,0.11%,
Dungeons-Standard,Puissant_Nozdorite_2,204838,0.09%,
Dungeons-Standard,Puissant_Nozdorite_1,204837,0.09%,
Dungeons-Standard,Steady_Nozdorite_1,204830,0.08%,
Dungeons-Standard,Jagged_Nozdorite_1,204823,0.08%,
Dungeons-Standard,Forceful_Nozdorite_3,204810,0.07%,
Dungeons-Standard,Forceful_Nozdorite_1,204787,0.06%,
Dungeons-Standard,Forceful_Nozdorite_2,204778,0.06%,
Dungeons-Standard,Base,204657,0.00%,
