profile,actor,DPS,increase,
Dungeons,Skillful_Illimited_Diamond_3,118183,0.73%,
Dungeons,Inscribed_Illimited_Diamond_3,118170,0.72%,
Dungeons,Fierce_Illimited_Diamond_3,118170,0.72%,
Dungeons,Resplendent_Illimited_Diamond_3,118159,0.71%,
Dungeons,Fierce_Illimited_Diamond_2,118085,0.65%,
Dungeons,Skillful_Illimited_Diamond_2,118055,0.62%,
Dungeons,Inscribed_Illimited_Diamond_2,118045,0.61%,
Dungeons,Resplendent_Illimited_Diamond_2,118039,0.61%,
Dungeons,Skillful_Illimited_Diamond_1,117928,0.51%,
Dungeons,Inscribed_Illimited_Diamond_1,117927,0.51%,
Dungeons,Fierce_Illimited_Diamond_1,117914,0.50%,
Dungeons,Resplendent_Illimited_Diamond_1,117910,0.50%,
Dungeons,Senseis_Alexstraszite_3,117778,0.39%,
Dungeons,Senseis_Neltharite_3,117775,0.38%,
Dungeons,Zen_Neltharite_3,117768,0.38%,
Dungeons,Keen_Ysemerald_3,117766,0.38%,
Dungeons,Zen_Malygite_3,117759,0.37%,
Dungeons,Keen_Neltharite_3,117758,0.37%,
Dungeons,Energized_Ysemerald_3,117749,0.36%,
Dungeons,Radiant_Alexstraszite_3,117749,0.36%,
Dungeons,Crafty_Alexstraszite_3,117743,0.36%,
Dungeons,Crafty_Ysemerald_3,117742,0.36%,
Dungeons,Radiant_Malygite_3,117735,0.35%,
Dungeons,Energized_Malygite_3,117726,0.34%,
Dungeons,Keen_Neltharite_2,117711,0.33%,
Dungeons,Keen_Ysemerald_2,117709,0.33%,
Dungeons,Fractured_Neltharite_3,117707,0.33%,
Dungeons,Zen_Neltharite_2,117707,0.33%,
Dungeons,Energized_Ysemerald_2,117705,0.32%,
Dungeons,Crafty_Ysemerald_2,117698,0.32%,
Dungeons,Senseis_Alexstraszite_2,117698,0.32%,
Dungeons,Zen_Malygite_2,117698,0.32%,
Dungeons,Senseis_Neltharite_2,117696,0.32%,
Dungeons,Stormy_Malygite_3,117693,0.31%,
Dungeons,Crafty_Alexstraszite_2,117693,0.31%,
Dungeons,Radiant_Alexstraszite_2,117688,0.31%,
Dungeons,Quick_Ysemerald_3,117687,0.31%,
Dungeons,Deadly_Alexstraszite_3,117684,0.31%,
Dungeons,Radiant_Malygite_2,117681,0.30%,
Dungeons,Energized_Malygite_2,117670,0.29%,
Dungeons,Fractured_Neltharite_2,117663,0.29%,
Dungeons,Senseis_Neltharite_1,117654,0.28%,
Dungeons,Senseis_Alexstraszite_1,117646,0.27%,
Dungeons,Radiant_Alexstraszite_1,117642,0.27%,
Dungeons,Deadly_Alexstraszite_2,117636,0.27%,
Dungeons,Zen_Malygite_1,117636,0.27%,
Dungeons,Keen_Neltharite_1,117634,0.26%,
Dungeons,Quick_Ysemerald_2,117630,0.26%,
Dungeons,Zen_Neltharite_1,117624,0.26%,
Dungeons,Keen_Ysemerald_1,117622,0.25%,
Dungeons,Crafty_Alexstraszite_1,117622,0.25%,
Dungeons,Crafty_Ysemerald_1,117619,0.25%,
Dungeons,Stormy_Malygite_2,117615,0.25%,
Dungeons,Energized_Malygite_1,117611,0.24%,
Dungeons,Radiant_Malygite_1,117607,0.24%,
Dungeons,Energized_Ysemerald_1,117606,0.24%,
Dungeons,Quick_Ysemerald_1,117596,0.23%,
Dungeons,Deadly_Alexstraszite_1,117594,0.23%,
Dungeons,Fractured_Neltharite_1,117592,0.23%,
Dungeons,Stormy_Malygite_1,117570,0.21%,
Dungeons,Zen_Mystic_Sapphire_3,117563,0.20%,
Dungeons,Senseis_Sundered_Onyx_3,117548,0.19%,
Dungeons,Crafty_Queens_Ruby_3,117541,0.18%,
Dungeons,Energized_Vibrant_Emerald_3,117528,0.17%,
Dungeons,Crafty_Queens_Ruby_2,117523,0.17%,
Dungeons,Senseis_Sundered_Onyx_2,117515,0.16%,
Dungeons,Zen_Mystic_Sapphire_2,117504,0.15%,
Dungeons,Energized_Vibrant_Emerald_2,117495,0.15%,
Dungeons,Crafty_Queens_Ruby_1,117491,0.14%,
Dungeons,Energized_Vibrant_Emerald_1,117482,0.13%,
Dungeons,Puissant_Nozdorite_3,117479,0.13%,
Dungeons,Zen_Mystic_Sapphire_1,117479,0.13%,
Dungeons,Jagged_Nozdorite_3,117474,0.13%,
Dungeons,Senseis_Sundered_Onyx_1,117466,0.12%,
Dungeons,Steady_Nozdorite_3,117458,0.11%,
Dungeons,Puissant_Nozdorite_2,117454,0.11%,
Dungeons,Steady_Nozdorite_2,117452,0.11%,
Dungeons,Forceful_Nozdorite_3,117447,0.10%,
Dungeons,Jagged_Nozdorite_2,117440,0.10%,
Dungeons,Forceful_Nozdorite_2,117438,0.10%,
Dungeons,Puissant_Nozdorite_1,117436,0.10%,
Dungeons,Jagged_Nozdorite_1,117415,0.08%,
Dungeons,Steady_Nozdorite_1,117414,0.08%,
Dungeons,Forceful_Nozdorite_1,117408,0.07%,
Dungeons,Solid_Eternity_Amber_2,117337,0.01%,
Dungeons,Solid_Eternity_Amber_1,117331,0.01%,
Dungeons,Solid_Eternity_Amber_3,117330,0.00%,
Dungeons,Base,117325,0.00%,
