profile,actor,DPS,increase,
azure-tyran,Inscribed_Illimited_Diamond_3,76043,1.02%,
azure-tyran,Fierce_Illimited_Diamond_3,76025,0.99%,
azure-tyran,Skillful_Illimited_Diamond_3,76019,0.99%,
azure-tyran,Resplendent_Illimited_Diamond_3,76000,0.96%,
azure-tyran,Fierce_Illimited_Diamond_2,75942,0.88%,
azure-tyran,Skillful_Illimited_Diamond_2,75906,0.84%,
azure-tyran,Inscribed_Illimited_Diamond_2,75899,0.83%,
azure-tyran,Resplendent_Illimited_Diamond_2,75870,0.79%,
azure-tyran,Fierce_Illimited_Diamond_1,75839,0.75%,
azure-tyran,Inscribed_Illimited_Diamond_1,75814,0.71%,
azure-tyran,Resplendent_Illimited_Diamond_1,75774,0.66%,
azure-tyran,Skillful_Illimited_Diamond_1,75762,0.64%,
azure-tyran,Energized_Malygite_3,75661,0.51%,
azure-tyran,Keen_Neltharite_3,75648,0.49%,
azure-tyran,Energized_Ysemerald_3,75642,0.48%,
azure-tyran,Senseis_Alexstraszite_3,75630,0.47%,
azure-tyran,Crafty_Alexstraszite_3,75626,0.46%,
azure-tyran,Zen_Malygite_3,75607,0.44%,
azure-tyran,Keen_Neltharite_2,75605,0.44%,
azure-tyran,Keen_Ysemerald_3,75605,0.44%,
azure-tyran,Crafty_Alexstraszite_2,75600,0.43%,
azure-tyran,Zen_Neltharite_3,75594,0.42%,
azure-tyran,Keen_Ysemerald_2,75587,0.41%,
azure-tyran,Crafty_Ysemerald_3,75582,0.41%,
azure-tyran,Crafty_Ysemerald_2,75581,0.40%,
azure-tyran,Deadly_Alexstraszite_3,75578,0.40%,
azure-tyran,Radiant_Alexstraszite_3,75578,0.40%,
azure-tyran,Senseis_Neltharite_3,75578,0.40%,
azure-tyran,Energized_Ysemerald_2,75577,0.40%,
azure-tyran,Quick_Ysemerald_3,75572,0.39%,
azure-tyran,Radiant_Malygite_3,75572,0.39%,
azure-tyran,Energized_Malygite_2,75570,0.39%,
azure-tyran,Fractured_Neltharite_3,75549,0.36%,
azure-tyran,Zen_Malygite_2,75539,0.35%,
azure-tyran,Quick_Ysemerald_2,75533,0.34%,
azure-tyran,Stormy_Malygite_3,75533,0.34%,
azure-tyran,Senseis_Neltharite_2,75530,0.34%,
azure-tyran,Keen_Ysemerald_1,75523,0.33%,
azure-tyran,Crafty_Ysemerald_1,75522,0.33%,
azure-tyran,Zen_Neltharite_2,75521,0.32%,
azure-tyran,Stormy_Malygite_2,75520,0.32%,
azure-tyran,Energized_Ysemerald_1,75513,0.31%,
azure-tyran,Zen_Malygite_1,75509,0.31%,
azure-tyran,Senseis_Neltharite_1,75504,0.30%,
azure-tyran,Radiant_Alexstraszite_2,75502,0.30%,
azure-tyran,Senseis_Alexstraszite_2,75502,0.30%,
azure-tyran,Energized_Malygite_1,75498,0.29%,
azure-tyran,Deadly_Alexstraszite_2,75495,0.29%,
azure-tyran,Keen_Neltharite_1,75493,0.29%,
azure-tyran,Radiant_Malygite_2,75492,0.29%,
azure-tyran,Crafty_Alexstraszite_1,75490,0.28%,
azure-tyran,Quick_Ysemerald_1,75487,0.28%,
azure-tyran,Radiant_Malygite_1,75483,0.27%,
azure-tyran,Fractured_Neltharite_2,75472,0.26%,
azure-tyran,Zen_Mystic_Sapphire_3,75471,0.26%,
azure-tyran,Zen_Neltharite_1,75470,0.26%,
azure-tyran,Senseis_Alexstraszite_1,75466,0.25%,
azure-tyran,Stormy_Malygite_1,75449,0.23%,
azure-tyran,Fractured_Neltharite_1,75448,0.23%,
azure-tyran,Deadly_Alexstraszite_1,75446,0.22%,
azure-tyran,Radiant_Alexstraszite_1,75446,0.22%,
azure-tyran,Energized_Vibrant_Emerald_3,75416,0.18%,
azure-tyran,Forceful_Nozdorite_3,75414,0.18%,
azure-tyran,Senseis_Sundered_Onyx_3,75414,0.18%,
azure-tyran,Senseis_Sundered_Onyx_2,75409,0.18%,
azure-tyran,Crafty_Queens_Ruby_3,75408,0.17%,
azure-tyran,Crafty_Queens_Ruby_1,75397,0.16%,
azure-tyran,Forceful_Nozdorite_2,75395,0.16%,
azure-tyran,Jagged_Nozdorite_3,75390,0.15%,
azure-tyran,Crafty_Queens_Ruby_2,75388,0.15%,
azure-tyran,Energized_Vibrant_Emerald_2,75382,0.14%,
azure-tyran,Energized_Vibrant_Emerald_1,75376,0.13%,
azure-tyran,Zen_Mystic_Sapphire_2,75376,0.13%,
azure-tyran,Senseis_Sundered_Onyx_1,75370,0.12%,
azure-tyran,Jagged_Nozdorite_1,75368,0.12%,
azure-tyran,Puissant_Nozdorite_3,75360,0.11%,
azure-tyran,Zen_Mystic_Sapphire_1,75351,0.10%,
azure-tyran,Puissant_Nozdorite_1,75340,0.08%,
azure-tyran,Steady_Nozdorite_2,75340,0.08%,
azure-tyran,Steady_Nozdorite_3,75329,0.07%,
azure-tyran,Steady_Nozdorite_1,75327,0.07%,
azure-tyran,Jagged_Nozdorite_2,75326,0.07%,
azure-tyran,Puissant_Nozdorite_2,75315,0.05%,
azure-tyran,Forceful_Nozdorite_1,75299,0.03%,
azure-tyran,Solid_Eternity_Amber_1,75284,0.01%,
azure-tyran,Base,75277,0.00%,
azure-tyran,Solid_Eternity_Amber_2,75264,-0.02%,
azure-tyran,Solid_Eternity_Amber_3,75229,-0.06%,
