profile,actor,DPS,increase,
bhh-fort,Skillful_Illimited_Diamond_3,145367,0.53%,
bhh-fort,Fierce_Illimited_Diamond_3,145362,0.53%,
bhh-fort,Inscribed_Illimited_Diamond_3,145354,0.52%,
bhh-fort,Resplendent_Illimited_Diamond_3,145343,0.52%,
bhh-fort,Inscribed_Illimited_Diamond_2,145237,0.44%,
bhh-fort,Fierce_Illimited_Diamond_2,145230,0.44%,
bhh-fort,Skillful_Illimited_Diamond_2,145214,0.43%,
bhh-fort,Resplendent_Illimited_Diamond_2,145194,0.41%,
bhh-fort,Skillful_Illimited_Diamond_1,145142,0.38%,
bhh-fort,Resplendent_Illimited_Diamond_1,145083,0.34%,
bhh-fort,Inscribed_Illimited_Diamond_1,145067,0.33%,
bhh-fort,Fierce_Illimited_Diamond_1,145054,0.32%,
bhh-fort,Energized_Malygite_3,145018,0.29%,
bhh-fort,Zen_Malygite_3,145004,0.28%,
bhh-fort,Keen_Neltharite_3,144998,0.28%,
bhh-fort,Energized_Ysemerald_3,144989,0.27%,
bhh-fort,Zen_Neltharite_3,144962,0.25%,
bhh-fort,Senseis_Alexstraszite_3,144933,0.23%,
bhh-fort,Radiant_Alexstraszite_3,144932,0.23%,
bhh-fort,Energized_Ysemerald_2,144930,0.23%,
bhh-fort,Radiant_Malygite_3,144930,0.23%,
bhh-fort,Zen_Neltharite_2,144923,0.23%,
bhh-fort,Zen_Malygite_2,144918,0.22%,
bhh-fort,Radiant_Alexstraszite_2,144916,0.22%,
bhh-fort,Fractured_Neltharite_3,144914,0.22%,
bhh-fort,Keen_Neltharite_2,144912,0.22%,
bhh-fort,Senseis_Neltharite_3,144912,0.22%,
bhh-fort,Fractured_Neltharite_2,144908,0.22%,
bhh-fort,Crafty_Alexstraszite_1,144904,0.21%,
bhh-fort,Crafty_Alexstraszite_3,144903,0.21%,
bhh-fort,Deadly_Alexstraszite_2,144895,0.21%,
bhh-fort,Deadly_Alexstraszite_3,144893,0.21%,
bhh-fort,Crafty_Ysemerald_2,144889,0.20%,
bhh-fort,Keen_Neltharite_1,144888,0.20%,
bhh-fort,Keen_Ysemerald_1,144877,0.20%,
bhh-fort,Senseis_Neltharite_1,144875,0.19%,
bhh-fort,Crafty_Ysemerald_3,144874,0.19%,
bhh-fort,Senseis_Alexstraszite_2,144872,0.19%,
bhh-fort,Senseis_Neltharite_2,144867,0.19%,
bhh-fort,Keen_Ysemerald_3,144866,0.19%,
bhh-fort,Radiant_Malygite_2,144858,0.18%,
bhh-fort,Crafty_Alexstraszite_2,144854,0.18%,
bhh-fort,Zen_Malygite_1,144852,0.18%,
bhh-fort,Senseis_Alexstraszite_1,144843,0.17%,
bhh-fort,Energized_Malygite_2,144839,0.17%,
bhh-fort,Fractured_Neltharite_1,144838,0.17%,
bhh-fort,Radiant_Malygite_1,144838,0.17%,
bhh-fort,Stormy_Malygite_2,144837,0.17%,
bhh-fort,Energized_Ysemerald_1,144828,0.16%,
bhh-fort,Radiant_Alexstraszite_1,144822,0.16%,
bhh-fort,Quick_Ysemerald_3,144817,0.15%,
bhh-fort,Zen_Neltharite_1,144813,0.15%,
bhh-fort,Stormy_Malygite_3,144809,0.15%,
bhh-fort,Energized_Malygite_1,144805,0.15%,
bhh-fort,Crafty_Ysemerald_1,144804,0.14%,
bhh-fort,Quick_Ysemerald_2,144791,0.14%,
bhh-fort,Keen_Ysemerald_2,144789,0.13%,
bhh-fort,Quick_Ysemerald_1,144770,0.12%,
bhh-fort,Deadly_Alexstraszite_1,144748,0.11%,
bhh-fort,Puissant_Nozdorite_3,144740,0.10%,
bhh-fort,Stormy_Malygite_1,144724,0.09%,
bhh-fort,Puissant_Nozdorite_1,144719,0.09%,
bhh-fort,Jagged_Nozdorite_3,144693,0.07%,
bhh-fort,Puissant_Nozdorite_2,144691,0.07%,
bhh-fort,Steady_Nozdorite_2,144691,0.07%,
bhh-fort,Forceful_Nozdorite_3,144688,0.06%,
bhh-fort,Steady_Nozdorite_3,144677,0.06%,
bhh-fort,Jagged_Nozdorite_2,144662,0.05%,
bhh-fort,Steady_Nozdorite_1,144657,0.04%,
bhh-fort,Jagged_Nozdorite_1,144642,0.03%,
bhh-fort,Forceful_Nozdorite_2,144631,0.02%,
bhh-fort,Base,144595,0.00%,
bhh-fort,Forceful_Nozdorite_1,144585,-0.01%,
