profile,actor,DPS,increase,
cos-fort,Fierce_Illimited_Diamond_3,74175,0.67%,
cos-fort,Skillful_Illimited_Diamond_3,74170,0.67%,
cos-fort,Resplendent_Illimited_Diamond_3,74163,0.66%,
cos-fort,Inscribed_Illimited_Diamond_3,74151,0.64%,
cos-fort,Resplendent_Illimited_Diamond_2,74126,0.61%,
cos-fort,Skillful_Illimited_Diamond_2,74116,0.59%,
cos-fort,Fierce_Illimited_Diamond_2,74107,0.58%,
cos-fort,Inscribed_Illimited_Diamond_2,74089,0.56%,
cos-fort,Fierce_Illimited_Diamond_1,74037,0.49%,
cos-fort,Inscribed_Illimited_Diamond_1,74037,0.49%,
cos-fort,Resplendent_Illimited_Diamond_1,74034,0.48%,
cos-fort,Skillful_Illimited_Diamond_1,74017,0.46%,
cos-fort,Keen_Neltharite_3,73919,0.33%,
cos-fort,Zen_Malygite_3,73916,0.32%,
cos-fort,Energized_Malygite_3,73913,0.32%,
cos-fort,Energized_Ysemerald_3,73913,0.32%,
cos-fort,Senseis_Neltharite_3,73910,0.31%,
cos-fort,Crafty_Ysemerald_2,73901,0.30%,
cos-fort,Keen_Neltharite_2,73896,0.29%,
cos-fort,Crafty_Alexstraszite_3,73893,0.29%,
cos-fort,Senseis_Alexstraszite_3,73893,0.29%,
cos-fort,Fractured_Neltharite_3,73892,0.29%,
cos-fort,Crafty_Alexstraszite_2,73890,0.29%,
cos-fort,Keen_Ysemerald_2,73888,0.28%,
cos-fort,Zen_Neltharite_2,73887,0.28%,
cos-fort,Crafty_Ysemerald_3,73883,0.28%,
cos-fort,Keen_Ysemerald_3,73882,0.28%,
cos-fort,Quick_Ysemerald_3,73878,0.27%,
cos-fort,Radiant_Alexstraszite_3,73876,0.27%,
cos-fort,Senseis_Alexstraszite_2,73876,0.27%,
cos-fort,Zen_Neltharite_3,73875,0.27%,
cos-fort,Radiant_Malygite_3,73871,0.26%,
cos-fort,Fractured_Neltharite_2,73870,0.26%,
cos-fort,Radiant_Malygite_2,73865,0.25%,
cos-fort,Keen_Neltharite_1,73863,0.25%,
cos-fort,Senseis_Neltharite_1,73862,0.25%,
cos-fort,Senseis_Neltharite_2,73860,0.25%,
cos-fort,Deadly_Alexstraszite_3,73858,0.24%,
cos-fort,Zen_Malygite_2,73856,0.24%,
cos-fort,Energized_Malygite_2,73854,0.24%,
cos-fort,Radiant_Alexstraszite_2,73853,0.24%,
cos-fort,Stormy_Malygite_3,73853,0.24%,
cos-fort,Energized_Ysemerald_2,73845,0.23%,
cos-fort,Crafty_Alexstraszite_1,73842,0.22%,
cos-fort,Quick_Ysemerald_2,73839,0.22%,
cos-fort,Zen_Malygite_1,73836,0.21%,
cos-fort,Energized_Ysemerald_1,73832,0.21%,
cos-fort,Radiant_Alexstraszite_1,73829,0.20%,
cos-fort,Stormy_Malygite_2,73829,0.20%,
cos-fort,Senseis_Alexstraszite_1,73826,0.20%,
cos-fort,Fractured_Neltharite_1,73825,0.20%,
cos-fort,Radiant_Malygite_1,73818,0.19%,
cos-fort,Deadly_Alexstraszite_1,73816,0.19%,
cos-fort,Energized_Malygite_1,73815,0.18%,
cos-fort,Keen_Ysemerald_1,73812,0.18%,
cos-fort,Deadly_Alexstraszite_2,73811,0.18%,
cos-fort,Zen_Neltharite_1,73809,0.18%,
cos-fort,Crafty_Ysemerald_1,73808,0.18%,
cos-fort,Stormy_Malygite_1,73804,0.17%,
cos-fort,Crafty_Queens_Ruby_3,73789,0.15%,
cos-fort,Energized_Vibrant_Emerald_3,73786,0.15%,
cos-fort,Senseis_Sundered_Onyx_3,73784,0.14%,
cos-fort,Zen_Mystic_Sapphire_3,73778,0.13%,
cos-fort,Quick_Ysemerald_1,73772,0.13%,
cos-fort,Forceful_Nozdorite_2,73767,0.12%,
cos-fort,Senseis_Sundered_Onyx_2,73766,0.12%,
cos-fort,Forceful_Nozdorite_3,73762,0.11%,
cos-fort,Crafty_Queens_Ruby_2,73754,0.10%,
cos-fort,Steady_Nozdorite_3,73749,0.10%,
cos-fort,Zen_Mystic_Sapphire_2,73742,0.09%,
cos-fort,Zen_Mystic_Sapphire_1,73739,0.08%,
cos-fort,Energized_Vibrant_Emerald_2,73734,0.07%,
cos-fort,Energized_Vibrant_Emerald_1,73733,0.07%,
cos-fort,Steady_Nozdorite_2,73727,0.07%,
cos-fort,Jagged_Nozdorite_2,73726,0.06%,
cos-fort,Jagged_Nozdorite_3,73719,0.05%,
cos-fort,Puissant_Nozdorite_2,73717,0.05%,
cos-fort,Jagged_Nozdorite_1,73714,0.05%,
cos-fort,Steady_Nozdorite_1,73714,0.05%,
cos-fort,Senseis_Sundered_Onyx_1,73712,0.04%,
cos-fort,Forceful_Nozdorite_1,73711,0.04%,
cos-fort,Puissant_Nozdorite_3,73710,0.04%,
cos-fort,Crafty_Queens_Ruby_1,73696,0.02%,
cos-fort,Puissant_Nozdorite_1,73690,0.01%,
cos-fort,Solid_Eternity_Amber_2,73688,0.01%,
cos-fort,Base,73679,0.00%,
cos-fort,Solid_Eternity_Amber_1,73647,-0.04%,
cos-fort,Solid_Eternity_Amber_3,73643,-0.05%,
