profile,actor,DPS,increase,
hoi-tyran,Resplendent_Illimited_Diamond_3,111790,0.86%,
hoi-tyran,Skillful_Illimited_Diamond_3,111767,0.84%,
hoi-tyran,Inscribed_Illimited_Diamond_3,111754,0.83%,
hoi-tyran,Fierce_Illimited_Diamond_3,111721,0.80%,
hoi-tyran,Inscribed_Illimited_Diamond_2,111624,0.71%,
hoi-tyran,Skillful_Illimited_Diamond_2,111613,0.70%,
hoi-tyran,Fierce_Illimited_Diamond_2,111595,0.69%,
hoi-tyran,Resplendent_Illimited_Diamond_2,111572,0.67%,
hoi-tyran,Skillful_Illimited_Diamond_1,111494,0.60%,
hoi-tyran,Inscribed_Illimited_Diamond_1,111476,0.58%,
hoi-tyran,Resplendent_Illimited_Diamond_1,111470,0.57%,
hoi-tyran,Fierce_Illimited_Diamond_1,111456,0.56%,
hoi-tyran,Zen_Neltharite_3,111405,0.52%,
hoi-tyran,Zen_Malygite_3,111379,0.49%,
hoi-tyran,Senseis_Neltharite_3,111330,0.45%,
hoi-tyran,Keen_Neltharite_3,111329,0.45%,
hoi-tyran,Senseis_Alexstraszite_3,111319,0.44%,
hoi-tyran,Crafty_Alexstraszite_3,111303,0.42%,
hoi-tyran,Energized_Ysemerald_3,111303,0.42%,
hoi-tyran,Energized_Malygite_3,111294,0.42%,
hoi-tyran,Keen_Ysemerald_3,111275,0.40%,
hoi-tyran,Fractured_Neltharite_3,111274,0.40%,
hoi-tyran,Radiant_Alexstraszite_2,111273,0.40%,
hoi-tyran,Crafty_Ysemerald_3,111265,0.39%,
hoi-tyran,Zen_Neltharite_2,111263,0.39%,
hoi-tyran,Radiant_Malygite_3,111256,0.38%,
hoi-tyran,Stormy_Malygite_3,111253,0.38%,
hoi-tyran,Radiant_Malygite_2,111248,0.37%,
hoi-tyran,Radiant_Alexstraszite_3,111247,0.37%,
hoi-tyran,Zen_Malygite_2,111237,0.36%,
hoi-tyran,Quick_Ysemerald_3,111228,0.36%,
hoi-tyran,Senseis_Neltharite_2,111224,0.35%,
hoi-tyran,Energized_Ysemerald_2,111219,0.35%,
hoi-tyran,Senseis_Alexstraszite_2,111208,0.34%,
hoi-tyran,Keen_Neltharite_2,111203,0.33%,
hoi-tyran,Energized_Malygite_2,111198,0.33%,
hoi-tyran,Crafty_Alexstraszite_2,111196,0.33%,
hoi-tyran,Keen_Ysemerald_2,111196,0.33%,
hoi-tyran,Crafty_Ysemerald_2,111193,0.32%,
hoi-tyran,Zen_Malygite_1,111185,0.32%,
hoi-tyran,Deadly_Alexstraszite_3,111184,0.32%,
hoi-tyran,Keen_Neltharite_1,111180,0.31%,
hoi-tyran,Crafty_Alexstraszite_1,111175,0.31%,
hoi-tyran,Deadly_Alexstraszite_2,111174,0.31%,
hoi-tyran,Zen_Neltharite_1,111166,0.30%,
hoi-tyran,Energized_Malygite_1,111148,0.28%,
hoi-tyran,Quick_Ysemerald_2,111146,0.28%,
hoi-tyran,Senseis_Neltharite_1,111146,0.28%,
hoi-tyran,Senseis_Alexstraszite_1,111145,0.28%,
hoi-tyran,Stormy_Malygite_2,111138,0.28%,
hoi-tyran,Fractured_Neltharite_2,111132,0.27%,
hoi-tyran,Fractured_Neltharite_1,111129,0.27%,
hoi-tyran,Keen_Ysemerald_1,111126,0.26%,
hoi-tyran,Radiant_Malygite_1,111125,0.26%,
hoi-tyran,Radiant_Alexstraszite_1,111121,0.26%,
hoi-tyran,Quick_Ysemerald_1,111118,0.26%,
hoi-tyran,Crafty_Ysemerald_1,111117,0.26%,
hoi-tyran,Energized_Ysemerald_1,111115,0.25%,
hoi-tyran,Stormy_Malygite_1,111075,0.22%,
hoi-tyran,Deadly_Alexstraszite_1,111065,0.21%,
hoi-tyran,Puissant_Nozdorite_3,111022,0.17%,
hoi-tyran,Puissant_Nozdorite_2,110976,0.13%,
hoi-tyran,Jagged_Nozdorite_2,110960,0.11%,
hoi-tyran,Forceful_Nozdorite_3,110950,0.11%,
hoi-tyran,Steady_Nozdorite_2,110949,0.10%,
hoi-tyran,Steady_Nozdorite_3,110942,0.10%,
hoi-tyran,Forceful_Nozdorite_1,110934,0.09%,
hoi-tyran,Jagged_Nozdorite_1,110932,0.09%,
hoi-tyran,Puissant_Nozdorite_1,110910,0.07%,
hoi-tyran,Forceful_Nozdorite_2,110907,0.07%,
hoi-tyran,Steady_Nozdorite_1,110888,0.05%,
hoi-tyran,Jagged_Nozdorite_3,110884,0.05%,
hoi-tyran,Base,110833,0.00%,
