profile,actor,DPS,increase,
ulda-fort,Skillful_Illimited_Diamond_3,140117,1.16%,
ulda-fort,Resplendent_Illimited_Diamond_3,140000,1.08%,
ulda-fort,Fierce_Illimited_Diamond_3,139996,1.07%,
ulda-fort,Inscribed_Illimited_Diamond_3,139972,1.06%,
ulda-fort,Resplendent_Illimited_Diamond_2,139857,0.97%,
ulda-fort,Fierce_Illimited_Diamond_2,139807,0.94%,
ulda-fort,Skillful_Illimited_Diamond_2,139798,0.93%,
ulda-fort,Inscribed_Illimited_Diamond_2,139796,0.93%,
ulda-fort,Resplendent_Illimited_Diamond_1,139577,0.77%,
ulda-fort,Inscribed_Illimited_Diamond_1,139555,0.75%,
ulda-fort,Skillful_Illimited_Diamond_1,139551,0.75%,
ulda-fort,Fierce_Illimited_Diamond_1,139511,0.72%,
ulda-fort,Senseis_Alexstraszite_3,139341,0.60%,
ulda-fort,Senseis_Neltharite_3,139328,0.59%,
ulda-fort,Crafty_Alexstraszite_3,139313,0.58%,
ulda-fort,Energized_Malygite_3,139311,0.58%,
ulda-fort,Zen_Malygite_3,139290,0.56%,
ulda-fort,Keen_Neltharite_3,139285,0.56%,
ulda-fort,Radiant_Malygite_3,139283,0.56%,
ulda-fort,Zen_Neltharite_3,139273,0.55%,
ulda-fort,Radiant_Alexstraszite_3,139252,0.54%,
ulda-fort,Energized_Ysemerald_3,139239,0.53%,
ulda-fort,Crafty_Ysemerald_3,139221,0.51%,
ulda-fort,Keen_Ysemerald_3,139211,0.51%,
ulda-fort,Radiant_Alexstraszite_2,139205,0.50%,
ulda-fort,Quick_Ysemerald_3,139201,0.50%,
ulda-fort,Keen_Neltharite_2,139200,0.50%,
ulda-fort,Senseis_Alexstraszite_2,139200,0.50%,
ulda-fort,Energized_Ysemerald_2,139188,0.49%,
ulda-fort,Zen_Neltharite_2,139181,0.48%,
ulda-fort,Deadly_Alexstraszite_3,139169,0.48%,
ulda-fort,Energized_Malygite_2,139166,0.47%,
ulda-fort,Fractured_Neltharite_3,139165,0.47%,
ulda-fort,Senseis_Neltharite_2,139163,0.47%,
ulda-fort,Crafty_Ysemerald_2,139158,0.47%,
ulda-fort,Zen_Malygite_2,139156,0.47%,
ulda-fort,Keen_Ysemerald_2,139129,0.45%,
ulda-fort,Radiant_Malygite_2,139128,0.45%,
ulda-fort,Crafty_Alexstraszite_2,139121,0.44%,
ulda-fort,Stormy_Malygite_3,139120,0.44%,
ulda-fort,Stormy_Malygite_2,139096,0.42%,
ulda-fort,Fractured_Neltharite_2,139089,0.42%,
ulda-fort,Crafty_Alexstraszite_1,139071,0.41%,
ulda-fort,Deadly_Alexstraszite_2,139068,0.40%,
ulda-fort,Keen_Neltharite_1,139065,0.40%,
ulda-fort,Zen_Neltharite_1,139062,0.40%,
ulda-fort,Senseis_Alexstraszite_1,139054,0.39%,
ulda-fort,Keen_Ysemerald_1,139051,0.39%,
ulda-fort,Radiant_Malygite_1,139043,0.38%,
ulda-fort,Energized_Malygite_1,139040,0.38%,
ulda-fort,Radiant_Alexstraszite_1,139039,0.38%,
ulda-fort,Quick_Ysemerald_1,139031,0.38%,
ulda-fort,Deadly_Alexstraszite_1,139026,0.37%,
ulda-fort,Senseis_Neltharite_1,139016,0.37%,
ulda-fort,Quick_Ysemerald_2,138992,0.35%,
ulda-fort,Crafty_Ysemerald_1,138984,0.34%,
ulda-fort,Zen_Malygite_1,138983,0.34%,
ulda-fort,Fractured_Neltharite_1,138966,0.33%,
ulda-fort,Senseis_Sundered_Onyx_3,138965,0.33%,
ulda-fort,Energized_Ysemerald_1,138963,0.33%,
ulda-fort,Stormy_Malygite_1,138961,0.33%,
ulda-fort,Crafty_Queens_Ruby_3,138867,0.26%,
ulda-fort,Zen_Mystic_Sapphire_1,138861,0.25%,
ulda-fort,Zen_Mystic_Sapphire_3,138861,0.25%,
ulda-fort,Energized_Vibrant_Emerald_3,138857,0.25%,
ulda-fort,Senseis_Sundered_Onyx_2,138853,0.25%,
ulda-fort,Zen_Mystic_Sapphire_2,138828,0.23%,
ulda-fort,Energized_Vibrant_Emerald_1,138809,0.22%,
ulda-fort,Puissant_Nozdorite_3,138802,0.21%,
ulda-fort,Crafty_Queens_Ruby_1,138782,0.20%,
ulda-fort,Crafty_Queens_Ruby_2,138774,0.19%,
ulda-fort,Energized_Vibrant_Emerald_2,138761,0.18%,
ulda-fort,Steady_Nozdorite_3,138761,0.18%,
ulda-fort,Senseis_Sundered_Onyx_1,138744,0.17%,
ulda-fort,Forceful_Nozdorite_3,138729,0.16%,
ulda-fort,Jagged_Nozdorite_2,138718,0.15%,
ulda-fort,Steady_Nozdorite_2,138711,0.15%,
ulda-fort,Puissant_Nozdorite_2,138697,0.14%,
ulda-fort,Jagged_Nozdorite_3,138683,0.12%,
ulda-fort,Puissant_Nozdorite_1,138676,0.12%,
ulda-fort,Jagged_Nozdorite_1,138649,0.10%,
ulda-fort,Forceful_Nozdorite_1,138639,0.09%,
ulda-fort,Forceful_Nozdorite_2,138639,0.09%,
ulda-fort,Steady_Nozdorite_1,138632,0.09%,
ulda-fort,Base,138510,0.00%,
ulda-fort,Solid_Eternity_Amber_3,138497,-0.01%,
ulda-fort,Solid_Eternity_Amber_2,138485,-0.02%,
ulda-fort,Solid_Eternity_Amber_1,138434,-0.05%,
