profile,actor,DPS,increase,
2T,Mechagnome,167653,1.43%,
2T,Human,167503,1.34%,
2T,Gnome,167355,1.25%,
2T,Void_Elf,167309,1.22%,
2T,Night_Elf_Haste,167230,1.17%,
2T,Orc,167134,1.12%,
2T,Goblin,167114,1.10%,
2T,Blood_Elf,167077,1.08%,
2T,Nightborne,166981,1.02%,
2T,Draenei,166937,1.00%,
2T,Zandalari_Troll_Paku,166929,0.99%,
2T,Kul_Tiran,166860,0.95%,
2T,Troll,166792,0.91%,
2T,Highmountain_Tauren,166761,0.89%,
2T,Dark_Iron_Dwarf,166735,0.87%,
2T,Night_Elf_Crit,166686,0.84%,
2T,Worgen,166607,0.80%,
2T,Dwarf,166433,0.69%,
2T,Tauren,166402,0.67%,
2T,Panda_Fortune_Cookie,166370,0.65%,
2T,Maghar_Orc,166252,0.58%,
2T,Panda_Mastery,166208,0.56%,
2T,Panda_Vers,165904,0.37%,
2T,Panda_Crit,165778,0.29%,
2T,Undead,165637,0.21%,
2T,Zandalari_Troll_Bwonsamdi,165558,0.16%,
2T,Zandalari_Troll_Kimbul,165546,0.15%,
2T,Panda_Haste,165464,0.10%,
2T,Lightforged_Draenei,165347,0.03%,
2T,Vulpera,165318,0.02%,
2T,Base,165290,0.00%,
