profile,actor,DPS,increase,
2T,Human,519996,1.85%,
2T,Night_Elf_Haste,517987,1.46%,
2T,Goblin,517917,1.45%,
2T,Gnome,517870,1.44%,
2T,Troll,516696,1.21%,
2T,Blood_Elf,515961,1.06%,
2T,Void_Elf,515938,1.06%,
2T,Dwarf,515140,0.90%,
2T,Zandalari_Troll_Paku,515050,0.88%,
2T,Nightborne,515019,0.88%,
2T,Tauren,514971,0.87%,
2T,Kul_Tiran,514553,0.79%,
2T,Highmountain_Tauren,514473,0.77%,
2T,Worgen,514384,0.75%,
2T,Night_Elf_Crit,514367,0.75%,
2T,Mechagnome,514215,0.72%,
2T,Panda_Haste,513618,0.60%,
2T,Panda_Crit,513608,0.60%,
2T,Orc,513555,0.59%,
2T,Maghar_Orc,513069,0.50%,
2T,Draenei,512960,0.48%,
2T,Panda_Vers,512861,0.46%,
2T,Panda_Mastery,512509,0.39%,
2T,Dark_Iron_Dwarf,512354,0.36%,
2T,Panda_Fortune_Cookie,512277,0.34%,
2T,Undead,511190,0.13%,
2T,Zandalari_Troll_Bwonsamdi,511090,0.11%,
2T,Zandalari_Troll_Kimbul,511055,0.10%,
2T,Vulpera,510617,0.02%,
2T,Base,510533,0.00%,
2T,Lightforged_Draenei,510434,-0.02%,
