profile,actor,DPS,increase,
2T,Orc,87492,1.59%,
2T,Troll,87424,1.51%,
2T,Gnome,87347,1.42%,
2T,Goblin,87308,1.37%,
2T,Night_Elf_Haste,87299,1.36%,
2T,Human,87107,1.14%,
2T,Dark_Iron_Dwarf,87098,1.13%,
2T,Blood_Elf,87073,1.10%,
2T,Void_Elf,87047,1.07%,
2T,Draenei,87046,1.07%,
2T,Zandalari_Troll_Paku,86975,0.99%,
2T,Highmountain_Tauren,86966,0.97%,
2T,Kul_Tiran,86944,0.95%,
2T,Night_Elf_Crit,86840,0.83%,
2T,Worgen,86815,0.80%,
2T,Nightborne,86811,0.79%,
2T,Panda_Fortune_Cookie,86786,0.77%,
2T,Maghar_Orc,86678,0.64%,
2T,Tauren,86634,0.59%,
2T,Dwarf,86587,0.53%,
2T,Mechagnome,86433,0.36%,
2T,Lightforged_Draenei,86404,0.32%,
2T,Zandalari_Troll_Bwonsamdi,86358,0.27%,
2T,Zandalari_Troll_Kimbul,86326,0.23%,
2T,Undead,86317,0.22%,
2T,Panda_Haste,86137,0.01%,
2T,Base,86126,0.00%,
2T,Vulpera,86119,-0.01%,
2T,Panda_Crit,86092,-0.04%,
2T,Panda_Mastery,86083,-0.05%,
2T,Panda_Vers,86053,-0.09%,
