profile,actor,DPS,increase,
Composite,Goblin,79821,1.60%,
Composite,Gnome,79816,1.60%,
Composite,Night_Elf_Haste,79779,1.55%,
Composite,Human,79646,1.38%,
Composite,Orc,79632,1.36%,
Composite,Troll,79436,1.11%,
Composite,Draenei,79426,1.10%,
Composite,Blood_Elf,79361,1.02%,
Composite,Zandalari_Troll_Paku,79350,1.00%,
Composite,Dark_Iron_Dwarf,79291,0.93%,
Composite,Kul_Tiran,79290,0.93%,
Composite,Highmountain_Tauren,79270,0.90%,
Composite,Night_Elf_Crit,79261,0.89%,
Composite,Worgen,79245,0.87%,
Composite,Void_Elf,79220,0.84%,
Composite,Nightborne,79206,0.82%,
Composite,Panda_Fortune_Cookie,79128,0.72%,
Composite,Maghar_Orc,79046,0.62%,
Composite,Tauren,78847,0.37%,
Composite,Dwarf,78846,0.36%,
Composite,Mechagnome,78828,0.34%,
Composite,Zandalari_Troll_Kimbul,78774,0.27%,
Composite,Panda_Haste,78769,0.27%,
Composite,Zandalari_Troll_Bwonsamdi,78763,0.26%,
Composite,Lightforged_Draenei,78732,0.22%,
Composite,Undead,78728,0.21%,
Composite,Base,78560,0.00%,
Composite,Vulpera,78548,-0.02%,
Composite,Panda_Crit,78539,-0.03%,
Composite,Panda_Mastery,78519,-0.05%,
Composite,Panda_Vers,78487,-0.09%,
