profile,actor,DPS,increase,
Composite,Human,418536,1.77%,
Composite,Void_Elf,417015,1.40%,
Composite,Night_Elf_Haste,416196,1.20%,
Composite,Gnome,416139,1.19%,
Composite,Goblin,416125,1.19%,
Composite,Dwarf,415950,1.14%,
Composite,Troll,415933,1.14%,
Composite,Tauren,415790,1.10%,
Composite,Blood_Elf,415423,1.02%,
Composite,Nightborne,415101,0.94%,
Composite,Zandalari_Troll_Paku,414887,0.89%,
Composite,Kul_Tiran,414733,0.85%,
Composite,Highmountain_Tauren,414622,0.82%,
Composite,Night_Elf_Crit,414492,0.79%,
Composite,Worgen,414357,0.76%,
Composite,Mechagnome,414319,0.75%,
Composite,Orc,413843,0.63%,
Composite,Panda_Crit,413517,0.55%,
Composite,Panda_Vers,413435,0.53%,
Composite,Panda_Haste,413407,0.53%,
Composite,Draenei,413375,0.52%,
Composite,Maghar_Orc,413340,0.51%,
Composite,Panda_Mastery,413332,0.51%,
Composite,Dark_Iron_Dwarf,413324,0.50%,
Composite,Panda_Fortune_Cookie,412634,0.34%,
Composite,Zandalari_Troll_Bwonsamdi,411952,0.17%,
Composite,Zandalari_Troll_Kimbul,411880,0.15%,
Composite,Undead,411760,0.12%,
Composite,Vulpera,411294,0.01%,
Composite,Base,411248,0.00%,
Composite,Lightforged_Draenei,411133,-0.03%,
