profile,actor,DPS,increase,
Dungeons,Mechagnome,92732,1.50%,
Dungeons,Human,92306,1.03%,
Dungeons,Goblin,92300,1.03%,
Dungeons,Gnome,92300,1.03%,
Dungeons,Night_Elf_Haste,92273,1.00%,
Dungeons,Draenei,92216,0.93%,
Dungeons,Nightborne,92098,0.80%,
Dungeons,Highmountain_Tauren,92085,0.79%,
Dungeons,Kul_Tiran,92076,0.78%,
Dungeons,Void_Elf,92049,0.75%,
Dungeons,Orc,92028,0.73%,
Dungeons,Zandalari_Troll_Paku,92016,0.71%,
Dungeons,Blood_Elf,91993,0.69%,
Dungeons,Worgen,91970,0.66%,
Dungeons,Night_Elf_Crit,91962,0.65%,
Dungeons,Troll,91954,0.65%,
Dungeons,Panda_Fortune_Cookie,91952,0.64%,
Dungeons,Dark_Iron_Dwarf,91893,0.58%,
Dungeons,Dwarf,91835,0.52%,
Dungeons,Tauren,91829,0.51%,
Dungeons,Maghar_Orc,91667,0.33%,
Dungeons,Panda_Mastery,91582,0.24%,
Dungeons,Zandalari_Troll_Bwonsamdi,91571,0.23%,
Dungeons,Panda_Vers,91544,0.20%,
Dungeons,Panda_Haste,91541,0.19%,
Dungeons,Undead,91541,0.19%,
Dungeons,Zandalari_Troll_Kimbul,91536,0.19%,
Dungeons,Lightforged_Draenei,91519,0.17%,
Dungeons,Panda_Crit,91496,0.14%,
Dungeons,Vulpera,91375,0.01%,
Dungeons,Base,91364,0.00%,
