profile,actor,DPS,increase,
Dungeons,Goblin,65085,1.31%,
Dungeons,Gnome,65063,1.27%,
Dungeons,Orc,65039,1.24%,
Dungeons,Night_Elf_Haste,65029,1.22%,
Dungeons,Human,64934,1.07%,
Dungeons,Draenei,64922,1.05%,
Dungeons,Blood_Elf,64905,1.03%,
Dungeons,Highmountain_Tauren,64862,0.96%,
Dungeons,Zandalari_Troll_Paku,64853,0.95%,
Dungeons,Dark_Iron_Dwarf,64835,0.92%,
Dungeons,Night_Elf_Crit,64832,0.91%,
Dungeons,Kul_Tiran,64814,0.89%,
Dungeons,Nightborne,64788,0.85%,
Dungeons,Worgen,64762,0.80%,
Dungeons,Void_Elf,64739,0.77%,
Dungeons,Troll,64712,0.73%,
Dungeons,Panda_Fortune_Cookie,64644,0.62%,
Dungeons,Maghar_Orc,64530,0.44%,
Dungeons,Zandalari_Troll_Bwonsamdi,64437,0.30%,
Dungeons,Undead,64414,0.26%,
Dungeons,Dwarf,64413,0.26%,
Dungeons,Mechagnome,64412,0.26%,
Dungeons,Tauren,64378,0.21%,
Dungeons,Zandalari_Troll_Kimbul,64377,0.21%,
Dungeons,Base,64245,0.00%,
Dungeons,Lightforged_Draenei,64225,-0.03%,
Dungeons,Vulpera,64217,-0.04%,
Dungeons,Panda_Haste,64209,-0.06%,
Dungeons,Panda_Vers,64162,-0.13%,
Dungeons,Panda_Mastery,64154,-0.14%,
Dungeons,Panda_Crit,64142,-0.16%,
