profile,actor,DPS,increase,
Single,Orc,80251,1.40%,
Single,Draenei,80053,1.15%,
Single,Human,80040,1.13%,
Single,Goblin,80016,1.10%,
Single,Void_Elf,80012,1.09%,
Single,Gnome,80011,1.09%,
Single,Troll,80006,1.09%,
Single,Night_Elf_Haste,79994,1.07%,
Single,Dark_Iron_Dwarf,79953,1.02%,
Single,Zandalari_Troll_Paku,79902,0.96%,
Single,Kul_Tiran,79898,0.95%,
Single,Highmountain_Tauren,79863,0.91%,
Single,Night_Elf_Crit,79845,0.88%,
Single,Blood_Elf,79832,0.87%,
Single,Nightborne,79824,0.86%,
Single,Worgen,79809,0.84%,
Single,Panda_Fortune_Cookie,79763,0.78%,
Single,Maghar_Orc,79673,0.67%,
Single,Dwarf,79601,0.57%,
Single,Tauren,79573,0.54%,
Single,Mechagnome,79452,0.39%,
Single,Panda_Mastery,79424,0.35%,
Single,Zandalari_Troll_Bwonsamdi,79391,0.31%,
Single,Zandalari_Troll_Kimbul,79390,0.31%,
Single,Panda_Crit,79360,0.27%,
Single,Panda_Haste,79349,0.26%,
Single,Undead,79340,0.25%,
Single,Panda_Vers,79267,0.15%,
Single,Lightforged_Draenei,79205,0.07%,
Single,Vulpera,79181,0.04%,
Single,Base,79146,0.00%,
